query	gene_name	gene_set	cluster
crm1_damp	CRM1	Gsp1 partner	5
cse1-5002	CSE1	Gsp1 partner	3
kap95-e126k	KAP95	Gsp1 partner	5
ntf2-5001	NTF2	Gsp1 partner	5
ntf2-h104y	NTF2	Gsp1 partner	5
rna1-1	RNA1	Gsp1 partner	3
rna1-s116f	RNA1	Gsp1 partner	3
srm1-g282s	SRM1	Gsp1 partner	5
srm1-ts	SRM1	Gsp1 partner	5
srp1-5001	SRP1	Gsp1 partner	3
yrb1-51	YRB1	Gsp1 partner	3
yrb2_damp	YRB2	Gsp1 partner	7
nup60	NUP60	Gsp1 partner	5
asm4	ASM4	nuclear transport of protein and mRNA	5
dbp5-1	DBP5	nuclear transport of protein and mRNA	5
gle1-2	GLE1	nuclear transport of protein and mRNA	5
gle1-4	GLE1	nuclear transport of protein and mRNA	5
gle2	GLE2	nuclear transport of protein and mRNA	5
mex67-ts5	MEX67	nuclear transport of protein and mRNA	5
mog1	MOG1	nuclear transport of protein and mRNA	5
mlp2	MLP2	nuclear transport of protein and mRNA	4
nup100	NUP100	nuclear transport of protein and mRNA	6
nup82-5005	NUP82	nuclear transport of protein and mRNA	expanded dataset
nup84	NUP84	nuclear transport of protein and mRNA	6
nup133	NUP133	nuclear transport of protein and mRNA	5
nup145-r4	NUP145	nuclear transport of protein and mRNA	5
nup157	NUP157	nuclear transport of protein and mRNA	5
nup188	NUP188	nuclear transport of protein and mRNA	5
nup2	NUP2	nuclear transport of protein and mRNA	5
nup42	NUP42	nuclear transport of protein and mRNA	5
nup53	NUP53	nuclear transport of protein and mRNA	5
nup57-5001	NUP57	nuclear transport of protein and mRNA	5
nup57-e17	NUP57	nuclear transport of protein and mRNA	5
nup82-5004	NUP82	nuclear transport of protein and mRNA	5
pom152	POM152	nuclear transport of protein and mRNA	5
pom34	POM34	nuclear transport of protein and mRNA	5
sus1	SUS1	nuclear transport of protein and mRNA	5
thp2	THP2	nuclear transport of protein and mRNA	5
asm4	ASM4	nuclear pore complex	5
nup100	NUP100	nuclear pore complex	6
nup82-5005	NUP82	nuclear pore complex	expanded dataset
nup84	NUP84	nuclear pore complex	6
nup133	NUP133	nuclear pore complex	5
nup145-r4	NUP145	nuclear pore complex	5
nup157	NUP157	nuclear pore complex	5
nup188	NUP188	nuclear pore complex	5
nup2	NUP2	nuclear pore complex	5
nup42	NUP42	nuclear pore complex	5
nup53	NUP53	nuclear pore complex	5
nup57-5001	NUP57	nuclear pore complex	5
nup57-e17	NUP57	nuclear pore complex	5
nup82-5004	NUP82	nuclear pore complex	5
pom152	POM152	nuclear pore complex	5
pom34	POM34	nuclear pore complex	5
bub3	BUB3	kinetochore, spindle assembly checkpoint	1
cbf2-1	CBF2	kinetochore, spindle assembly checkpoint	1
cbf2-2	CBF2	kinetochore, spindle assembly checkpoint	expanded dataset
cdc20-1	CDC20	kinetochore, spindle assembly checkpoint	3
cdc23-1	CDC23	kinetochore, spindle assembly checkpoint	3
cdc27-1	CDC27	kinetochore, spindle assembly checkpoint	expanded dataset
cdc27-2	CDC27	kinetochore, spindle assembly checkpoint	expanded dataset
cdc28-td	CDC28	kinetochore, spindle assembly checkpoint	1
cdc4-2	CDC4	kinetochore, spindle assembly checkpoint	3
cdc4-3	CDC4	kinetochore, spindle assembly checkpoint	3
chl1	CHL1	kinetochore, spindle assembly checkpoint	1
chl4	CHL4	kinetochore, spindle assembly checkpoint	1
cik1	CIK1	kinetochore, spindle assembly checkpoint	3
cks1-38	CKS1	kinetochore, spindle assembly checkpoint	3
cln3	CLN3	kinetochore, spindle assembly checkpoint	3
ctf13-30	CTF13	kinetochore, spindle assembly checkpoint	1
ctf18	CTF18	kinetochore, spindle assembly checkpoint	1
ctf19	CTF19	kinetochore, spindle assembly checkpoint	1
ctf3	CTF3	kinetochore, spindle assembly checkpoint	expanded dataset
ctf4	CTF4	kinetochore, spindle assembly checkpoint	1
