,strain,name,ORF,set_clustered_hmap,set_clustered_tina,set_handmade_tina,Description
0,yhc1-3,YHC1,YLR298C,1,pos_with_GAP,splicing,"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site"
1,cbf2-1,CBF2,YGR140W,1,pos_with_GAP,"kinetochore, spindle assembly checkpoint","Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress"
2,cbf2-1,CBF2,YGR140W,1,pos_with_GAP,kinetochore spindle actin tubulin mitotic exit,"Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress"
3,mcd1-73,MCD1,YDL003W,1,pos_with_GAP,"kinetochore, spindle assembly checkpoint","Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
4,mcd1-73,MCD1,YDL003W,1,pos_with_GAP,kinetochore spindle actin tubulin mitotic exit,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
5,mcd1-73,MCD1,YDL003W,1,pos_with_GAP,cohesin,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
6,smc1-2,SMC1,YFL008W,1,pos_with_GAP,"kinetochore, spindle assembly checkpoint","Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
7,smc1-2,SMC1,YFL008W,1,pos_with_GAP,kinetochore spindle actin tubulin mitotic exit,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
8,smc1-2,SMC1,YFL008W,1,pos_with_GAP,histones and chromatin,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
9,smc1-2,SMC1,YFL008W,1,pos_with_GAP,cohesin,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
10,chl1,CHL1,YPL008W,1,pos_with_GAP,"kinetochore, spindle assembly checkpoint","Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity and interstrand cross-link repair; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome"
11,smc3-42,SMC3,YJL074C,1,pos_with_GAP,"kinetochore, spindle assembly checkpoint","Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
12,smc3-42,SMC3,YJL074C,1,pos_with_GAP,kinetochore spindle actin tubulin mitotic exit,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
13,smc3-42,SMC3,YJL074C,1,pos_with_GAP,histones and chromatin,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
