

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\CJM\2020-11-17-GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	11/17/2020
Time	5:56:00 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	A1..A10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10			Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
0:00:00	30.0	5141	4848	4773	4550	6717	6602	4573	4326	6552	6315
0:00:05	30.0	5256	4771	4813	4578	6685	6634	4672	4285	6604	6343
0:00:10	29.9	5346	4784	4915	4571	6627	6588	4764	4295	6573	6278
0:00:15	30.0	5480	4758	4927	4522	6763	6609	4788	4273	6607	6276
0:00:20	30.0	5589	4768	5014	4603	6755	6628	4836	4318	6681	6279
0:00:25	30.0	5730	4754	5041	4572	6817	6591	4996	4302	6720	6332
0:00:30	30.0	5883	4785	5110	4572	6792	6580	5027	4323	6796	6318
0:00:35	30.0	5923	4778	5186	4525	6814	6630	5039	4331	6811	6286
0:00:40	30.0	6061	4790	5251	4571	6944	6577	5246	4350	6901	6274
0:00:45	30.0	6255	4793	5288	4575	6956	6578	5240	4343	6890	6350
0:00:50	30.0	6353	4786	5372	4571	6953	6591	5373	4340	6929	6266
0:00:55	30.0	6488	4785	5353	4545	7000	6590	5403	4267	7066	6290
0:01:00	30.0	6538	4786	5376	4525	6988	6580	5534	4365	7055	6261
0:01:05	30.0	6731	4770	5473	4552	7091	6582	5563	4323	7059	6292
0:01:10	30.0	6858	4787	5502	4574	7068	6665	5610	4319	7104	6322
0:01:15	30.0	6974	4810	5606	4549	7081	6596	5721	4331	7133	6268
0:01:20	30.0	7099	4836	5644	4646	7157	6589	5805	4341	7132	6262
0:01:25	30.0	7256	4808	5736	4590	7111	6608	5868	4369	7261	6303
0:01:30	30.0	7339	4843	5730	4586	7177	6542	5919	4356	7275	6306
0:01:35	30.0	7390	4832	5822	4560	7233	6553	6053	4380	7310	6308
0:01:40	30.0	7644	4854	5896	4626	7259	6575	6131	4361	7383	6265
0:01:45	30.0	7642	4821	5907	4552	7314	6603	6227	4340	7499	6249
0:01:50	30.0	7790	4857	5956	4554	7362	6574	6257	4394	7507	6285
0:01:55	30.0	7940	4889	6145	4644	7324	6600	6295	4413	7609	6330
0:02:00	30.0	8066	4863	6097	4588	7323	6605	6419	4367	7598	6272
0:02:05	30.0	8214	4839	6215	4609	7397	6571	6533	4374	7659	6327
0:02:10	30.0	8267	4859	6280	4592	7392	6551	6611	4400	7630	6323
0:02:15	30.0	8419	4866	6326	4606	7455	6583	6638	4404	7743	6385
0:02:20	30.0	8535	4847	6408	4624	7485	6647	6702	4406	7858	6310
0:02:25	30.0	8643	4827	6494	4595	7499	6572	6782	4434	7867	6333
0:02:30	30.0	8826	4843	6516	4590	7583	6574	6892	4444	7855	6356
0:02:35	30.0	8879	4794	6588	4594	7563	6642	6996	4407	7980	6356
0:02:40	30.0	9002	4836	6682	4586	7655	6622	7031	4400	8117	6308
0:02:45	30.0	9166	4847	6738	4581	7678	6581	7143	4449	8115	6301
0:02:50	29.9	9333	4836	6813	4618	7692	6593	7168	4386	8165	6346
0:02:55	29.9	9390	4898	6826	4616	7746	6605	7227	4441	8164	6346
0:03:00	30.0	9498	4857	6951	4581	7752	6639	7344	4458	8243	6308
0:03:05	30.0	9613	4835	6950	4585	7788	6608	7421	4445	8250	6354
0:03:10	30.0	9777	4851	6978	4614	7868	6548	7427	4432	8297	6354
0:03:15	30.0	9920	4816	7052	4635	7906	6660	7442	4469	8335	6333
0:03:20	30.0	9873	4831	7109	4628	7883	6629	7554	4444	8394	6315
0:03:25	30.0	10097	4853	7164	4624	7957	6606	7611	4419	8458	6330
0:03:30	30.0	10261	4879	7249	4590	7899	6652	7631	4418	8500	6321
0:03:35	30.0	10354	4818	7246	4619	8016	6724	7705	4429	8518	6281
0:03:40	30.0	10491	4836	7295	4594	8133	6677	7737	4390	8581	6322
0:03:45	30.0	10596	4859	7374	4634	7985	6634	7731	4402	8714	6357
0:03:50	30.1	10722	4850	7455	4635	8104	6641	7860	4447	8694	6295
0:03:55	30.1	10788	4769	7501	4628	8085	6747	7908	4391	8797	6326
0:04:00	30.0	10946	4800	7494	4604	8179	6681	7941	4406	8844	6325
0:04:05	30.0	11044	4786	7602	4606	8196	6605	7906	4417	8860	6301
0:04:10	30.0	11175	4803	7634	4602	8183	6669	7910	4364	8876	6274
0:04:15	30.0	11295	4875	7627	4615	8159	6634	8089	4375	8929	6364
0:04:20	30.0	11384	4875	7715	4640	8286	6634	8031	4360	8979	6279
0:04:25	30.0	11506	4851	7834	4607	8377	6683	8041	4411	9113	6290
0:04:30	30.0	11586	4813	7761	4617	8314	6734	8075	4375	9092	6293
0:04:35	30.0	11751	4772	7909	4581	8417	6647	8178	4376	9138	6296
0:04:40	30.0	11888	4796	7886	4577	8459	6678	8135	4373	9244	6341
0:04:45	30.0	11896	4781	8049	4598	8510	6640	8266	4388	9230	6302
0:04:50	30.0	12041	4795	8021	4578	8386	6697	8238	4383	9303	6286
0:04:55	30.0	12192	4808	8059	4604	8509	6656	8264	4381	9323	6342
0:05:00	30.0	12350	4818	8121	4592	8581	6690	8286	4331	9476	6269
0:05:05	30.0	12366	4816	8146	4596	8636	6641	8310	4426	9451	6245
0:05:10	30.0	12500	4781	8245	4608	8589	6668	8235	4379	9545	6324
0:05:15	30.0	12635	4801	8307	4579	8673	6690	8310	4361	9587	6318
0:05:20	30.0	12730	4782	8358	4584	8747	6696	8303	4349	9644	6286
0:05:25	30.0	12802	4794	8381	4615	8775	6673	8337	4354	9642	6252
0:05:30	30.0	12826	4807	8485	4573	8705	6594	8324	4357	9659	6282
0:05:35	30.0	12921	4820	8526	4615	8892	6682	8274	4349	9774	6291
0:05:40	30.0	13134	4835	8651	4581	8858	6620	8343	4351	9835	6342
0:05:45	30.0	13123	4807	8605	4611	8830	6659	8304	4336	9848	6335
0:05:50	30.0	13208	4794	8727	4560	8982	6672	8358	4357	9915	6270
0:05:55	30.0	13344	4811	8684	4630	8958	6680	8383	4337	9941	6261
0:06:00	30.0	13621	4831	8758	4646	9002	6639	8413	4364	9901	6346
0:06:05	30.0	13589	4834	8912	4574	9016	6722	8422	4335	10010	6298
0:06:10	30.0	13760	4788	8857	4566	9053	6684	8396	4346	10086	6291
0:06:15	30.0	13648	4792	8946	4642	9095	6637	8417	4361	10149	6305
0:06:20	30.0	13944	4793	8935	4559	9055	6633	8359	4338	10148	6291
0:06:25	30.0	13924	4801	9011	4654	9131	6667	8481	4368	10190	6350
0:06:30	30.0	14100	4772	9103	4615	9188	6687	8387	4368	10230	6290
0:06:35	30.0	14122	4822	9133	4564	9292	6659	8409	4373	10228	6354
0:06:40	30.0	14253	4796	9157	4583	9333	6593	8386	4353	10284	6341
0:06:45	30.0	14208	4843	9256	4624	9372	6663	8427	4363	10363	6303
0:06:50	30.0	14358	4820	9351	4604	9315	6638	8333	4370	10324	6338
0:06:55	30.0	14377	4790	9356	4583	9316	6647	8454	4371	10334	6307
0:07:00	30.0	14545	4826	9504	4580	9418	6647	8346	4396	10349	6327
0:07:05	30.0	14502	4830	9473	4579	9409	6613	8339	4392	10417	6329
0:07:10	30.0	14679	4839	9532	4591	9439	6667	8410	4404	10443	6268
0:07:15	30.0	14586	4793	9563	4556	9537	6636	8330	4369	10527	6306
0:07:20	30.0	14736	4797	9652	4588	9551	6644	8376	4328	10537	6276
0:07:25	30.0	14815	4827	9676	4614	9551	6655	8343	4382	10539	6319
0:07:30	30.0	14876	4780	9746	4578	9591	6665	8355	4337	10585	6361
0:07:35	30.0	14933	4767	9749	4578	9647	6639	8404	4348	10559	6284
0:07:40	30.0	14957	4826	9863	4587	9666	6656	8447	4381	10631	6329
0:07:45	30.0	14996	4814	9801	4565	9780	6640	8411	4368	10695	6277
0:07:50	30.0	15091	4809	9894	4579	9724	6641	8450	4334	10716	6294
0:07:55	30.0	15165	4764	9965	4593	9785	6619	8342	4342	10644	6307
0:08:00	30.0	15100	4821	9884	4599	9846	6627	8461	4361	10706	6271
0:08:05	30.0	15245	4814	10135	4594	9855	6696	8371	4372	10668	6319
0:08:10	30.0	15150	4799	10079	4623	9871	6646	8320	4318	10731	6326
0:08:15	30.0	15156	4802	10200	4579	9926	6638	8407	4354	10738	6284
0:08:20	30.0	15233	4830	10230	4589	9924	6622	8289	4371	10739	6298
0:08:25	30.0	15203	4860	10204	4585	10014	6637	8397	4357	10719	6266
0:08:30	30.0	15266	4777	10321	4599	10074	6701	8329	4389	10686	6301
0:08:35	30.0	15323	4825	10327	4590	10043	6600	8328	4349	10767	6334
0:08:40	30.0	15282	4787	10463	4582	10141	6645	8336	4379	10757	6259
0:08:45	30.0	15371	4829	10423	4607	10152	6681	8351	4347	10814	6331
0:08:50	30.0	15337	4808	10426	4633	10248	6637	8346	4365	10788	6284
0:08:55	30.0	15317	4791	10565	4551	10251	6620	8328	4322	10839	6306
0:09:00	30.0	15313	4846	10599	4613	10336	6646	8336	4332	10922	6306
0:09:05	30.0	15359	4821	10604	4594	10337	6641	8308	4328	10800	6300
0:09:10	30.0	15255	4821	10678	4566	10332	6714	8312	4369	10789	6314
0:09:15	30.0	15320	4806	10654	4596	10385	6713	8230	4376	10754	6374
0:09:20	30.0	15338	4827	10715	4558	10469	6610	8321	4325	10799	6285
0:09:25	30.0	15280	4806	10668	4573	10462	6624	8336	4350	10871	6287
0:09:30	30.0	15419	4821	10802	4585	10584	6677	8315	4333	10758	6324
0:09:35	30.0	15290	4834	10795	4575	10585	6637	8311	4354	10847	6284
0:09:40	30.0	15314	4810	10954	4573	10575	6691	8289	4374	10830	6343
0:09:45	30.0	15480	4809	10923	4598	10606	6664	8297	4360	10800	6285
0:09:50	30.0	15276	4810	10886	4562	10619	6655	8379	4345	10784	6311
0:09:55	30.0	15450	4801	10983	4585	10722	6651	8268	4360	10861	6240
