11/17/2020 10:21 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	-0.013
220.5	-0.004
221.0	-0.009
221.5	-0.010
222.0	-0.010
222.5	-0.008
223.0	-0.010
223.5	-0.004
224.0	-0.004
224.5	-0.004
225.0	-0.007
225.5	-0.004
226.0	-0.005
226.5	-0.007
227.0	-0.006
227.5	-0.007
228.0	-0.008
228.5	-0.006
229.0	-0.007
229.5	-0.006
230.0	-0.005
230.5	-0.004
231.0	-0.006
231.5	-0.005
232.0	-0.004
232.5	-0.001
233.0	-0.001
233.5	0.001
234.0	0.002
234.5	0.001
235.0	0.004
235.5	0.009
236.0	0.009
236.5	0.011
237.0	0.012
237.5	0.011
238.0	0.012
238.5	0.013
239.0	0.015
239.5	0.015
240.0	0.014
240.5	0.013
241.0	0.012
241.5	0.012
242.0	0.012
242.5	0.010
243.0	0.009
243.5	0.007
244.0	0.007
244.5	0.008
245.0	0.009
245.5	0.010
246.0	0.010
246.5	0.009
247.0	0.009
247.5	0.008
248.0	0.009
248.5	0.010
249.0	0.010
249.5	0.012
250.0	0.013
250.5	0.012
251.0	0.014
251.5	0.014
252.0	0.012
252.5	0.012
253.0	0.010
253.5	0.009
254.0	0.010
254.5	0.010
255.0	0.011
255.5	0.013
256.0	0.012
256.5	0.012
257.0	0.012
257.5	0.010
258.0	0.011
258.5	0.011
259.0	0.011
259.5	0.013
260.0	0.013
260.5	0.011
261.0	0.012
261.5	0.012
262.0	0.010
262.5	0.010
263.0	0.007
263.5	0.006
264.0	0.005
264.5	0.005
265.0	0.006
265.5	0.006
266.0	0.007
266.5	0.006
267.0	0.006
267.5	0.006
268.0	0.008
268.5	0.010
269.0	0.012
269.5	0.015
270.0	0.016
270.5	0.018
271.0	0.019
271.5	0.019
272.0	0.019
272.5	0.020
273.0	0.022
273.5	0.023
274.0	0.024
274.5	0.024
275.0	0.025
275.5	0.025
276.0	0.024
276.5	0.023
277.0	0.022
277.5	0.021
278.0	0.021
278.5	0.021
279.0	0.023
