

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\CJM\20210117_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\CJM\GAP_Assay.prt



Plate Number	Plate 1
Date	1/18/2021
Time	12:06:14 AM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	5903	5162	5688	4967	5684	4895	6050	5135	5674	4740	5621	4751
0:00:05	30.0	6043	5149	5959	4943	5901	4887	6299	5070	5916	4739	5821	4691
0:00:10	30.0	6303	5154	6153	4966	6225	4939	6492	5103	6156	4740	6067	4704
0:00:15	30.0	6423	5162	6336	4979	6356	4997	6759	5155	6370	4735	6276	4732
0:00:20	30.0	6626	5237	6541	5022	6624	4931	6972	5186	6556	4730	6536	4748
0:00:25	30.0	6859	5211	6733	5017	6830	4962	7227	5168	6851	4719	6825	4727
0:00:30	30.0	7136	5229	6907	5024	7047	5007	7448	5163	7024	4787	7007	4710
0:00:35	30.0	7281	5234	7185	5066	7394	5006	7735	5113	7347	4802	7276	4739
0:00:40	30.0	7610	5238	7397	5094	7626	4978	7893	5196	7631	4804	7583	4742
0:00:45	30.0	7781	5200	7629	5092	7887	5019	8135	5155	7751	4769	7772	4816
0:00:50	30.0	7952	5229	7778	5123	8052	4980	8399	5226	7998	4753	7970	4727
0:00:55	30.0	8241	5203	7945	5115	8280	5058	8628	5132	8193	4804	8259	4722
0:01:00	30.0	8520	5200	8222	5187	8560	5009	8941	5154	8488	4803	8431	4722
0:01:05	30.0	8608	5226	8492	5101	8925	5008	9137	5193	8678	4810	8651	4816
0:01:10	30.0	8933	5275	8723	5174	9134	5045	9274	5178	8913	4823	8911	4789
0:01:15	30.0	9111	5276	8859	5113	9269	5073	9513	5179	9202	4825	9120	4813
0:01:20	30.0	9283	5273	9103	5152	9484	5054	9767	5164	9384	4810	9359	4749
0:01:25	30.0	9562	5304	9351	5142	9858	5017	10007	5183	9641	4850	9578	4764
0:01:30	30.0	9768	5300	9539	5126	10057	5017	10285	5225	9857	4794	9852	4774
0:01:35	30.0	10023	5343	9851	5149	10274	5056	10465	5175	9995	4826	10142	4744
0:01:40	30.0	10290	5331	10029	5121	10526	5010	10627	5181	10231	4856	10284	4803
0:01:45	30.0	10443	5341	10378	5102	10725	5035	10829	5174	10470	4811	10482	4850
0:01:50	30.0	10702	5331	10586	5137	10887	5117	11226	5224	10721	4790	10679	4779
0:01:55	30.0	10968	5410	10694	5164	11173	5089	11221	5245	10954	4813	11008	4801
0:02:00	30.0	11164	5344	10955	5136	11449	5068	11481	5258	11216	4808	11180	4803
0:02:05	30.0	11401	5347	11165	5154	11537	5060	11737	5236	11328	4837	11331	4785
0:02:10	30.0	11673	5330	11419	5169	11775	5117	11901	5199	11536	4826	11585	4840
0:02:15	30.0	11792	5348	11574	5195	11978	5130	12101	5193	11768	4791	11721	4797
0:02:20	30.0	12020	5332	11799	5175	12142	5124	12287	5287	12019	4825	11933	4863
0:02:25	30.0	12330	5385	11991	5197	12369	5072	12509	5225	12166	4816	12018	4814
0:02:30	30.0	12387	5358	12147	5141	12630	5140	12698	5260	12382	4847	12288	4840
0:02:35	30.0	12691	5377	12418	5160	12661	5077	12943	5248	12486	4893	12462	4821
0:02:40	30.0	12873	5390	12601	5159	12831	5120	12995	5265	12772	4805	12704	4855
0:02:45	30.0	12991	5362	12772	5170	13096	5153	13238	5239	12963	4814	12860	4841
0:02:50	30.0	13296	5330	13021	5190	13138	5134	13396	5239	13191	4840	13041	4836
0:02:55	30.0	13340	5323	13282	5170	13322	5106	13541	5244	13343	4811	13186	4835
0:03:00	30.0	13578	5344	13376	5186	13559	5097	13756	5259	13486	4836	13355	4843
0:03:05	30.0	13864	5398	13520	5189	13579	5153	13805	5265	13573	4869	13320	4881
0:03:10	30.0	13916	5397	13779	5174	13748	5119	13935	5283	13712	4833	13537	4902
0:03:15	30.0	14229	5336	13776	5183	13946	5128	14201	5279	13866	4842	13660	4860
0:03:20	30.0	14211	5373	14004	5160	14044	5108	14127	5349	14028	4818	13944	4881
0:03:25	30.0	14437	5377	14206	5126	14101	5171	14277	5291	14298	4850	13908	4901
0:03:30	30.0	14746	5363	14533	5218	14170	5172	14491	5251	14307	4861	14083	4872
0:03:35	30.0	14693	5394	14497	5193	14273	5115	14420	5262	14321	4856	14054	4894
0:03:40	30.0	14917	5322	14693	5190	14325	5169	14481	5282	14556	4817	14241	4908
0:03:45	30.0	15189	5408	14869	5193	14431	5140	14574	5270	14647	4882	14285	4937
0:03:50	30.0	15205	5357	14972	5231	14737	5115	14632	5332	14642	4892	14326	4921
0:03:55	30.0	15410	5360	15121	5158	14727	5100	14686	5305	14841	4888	14442	4911
0:04:00	30.0	15468	5333	15314	5165	14771	5116	14685	5274	14912	4865	14447	4894
0:04:05	30.0	15525	5369	15451	5172	14802	5131	14844	5263	15025	4838	14605	4877
0:04:10	30.0	15795	5384	15526	5143	14940	5112	14885	5297	14965	4851	14605	4903
0:04:15	30.0	15840	5325	15574	5155	14930	5158	14911	5295	15109	4863	14620	4919
0:04:20	30.0	15972	5342	15884	5159	14974	5157	14881	5309	15058	4868	14695	4880
0:04:25	30.0	16012	5379	15740	5182	15059	5158	14817	5293	15097	4913	14710	4877
0:04:30	30.0	16207	5322	15881	5221	15066	5174	15038	5304	15206	4891	14715	4866
0:04:35	30.0	16080	5396	16005	5196	15062	5182	14932	5304	15115	4890	14854	4899
0:04:40	30.0	16437	5369	16106	5205	15122	5131	14864	5269	15260	4939	14858	4902
0:04:45	30.0	16162	5348	16117	5216	15095	5186	15085	5281	15308	4939	14861	4915
0:04:50	30.0	16234	5322	16222	5200	15254	5206	14972	5242	15378	4930	14826	4875
0:04:55	30.0	16382	5398	16385	5150	15251	5144	14976	5275	15242	4921	14902	4879
0:05:00	30.0	16384	5334	16173	5224	15194	5132	14923	5343	15393	4927	14872	4908
0:05:05	30.0	16483	5344	16438	5224	15069	5154	14995	5331	15486	4927	14952	4878
0:05:10	30.0	16516	5370	16277	5190	15178	5156	14978	5352	15380	4939	14875	4920
0:05:15	30.0	16387	5459	16457	5178	15288	5197	14957	5327	15323	4939	14890	4910
0:05:20	30.0	16422	5381	16334	5201	15241	5144	15004	5281	15316	4962	14808	4940
0:05:25	30.0	16360	5379	16441	5188	15197	5222	15079	5305	15312	4929	14929	4924
0:05:30	30.0	16625	5391	16416	5210	15262	5145	14927	5345	15299	4954	14954	4878
0:05:35	30.0	16372	5397	16337	5213	15168	5168	14886	5365	15346	4928	15099	4926
0:05:40	30.0	16373	5360	16432	5205	15295	5184	15081	5375	15389	4924	14894	4933
0:05:45	30.0	16422	5399	16317	5247	15386	5200	14942	5318	15312	4926	14895	4895
0:05:50	30.0	16494	5384	16368	5189	15362	5163	14976	5349	15400	4988	14926	4910
0:05:55	30.0	16331	5427	16565	5179	15338	5208	14916	5281	15482	4926	14911	4897
0:06:00	30.0	16582	5399	16342	5180	15292	5161	14921	5314	15312	4984	14911	4931
0:06:05	30.0	16416	5390	16319	5190	15299	5135	14965	5323	15317	4953	15062	4899
0:06:10	30.0	16379	5386	16444	5238	15238	5138	14987	5325	15362	4948	14944	4940
0:06:15	30.0	16539	5458	16346	5195	15315	5150	14975	5346	15228	4953	14924	4919
0:06:20	30.0	16573	5373	16365	5196	15182	5196	15017	5342	15275	4964	14954	4874
0:06:25	30.0	16404	5424	16450	5260	15128	5154	14980	5348	15390	4923	14925	4903
0:06:30	30.0	16421	5401	16424	5201	15384	5190	14941	5348	15321	4970	14847	4906
0:06:35	30.0	16531	5399	16467	5208	15233	5150	14957	5377	15457	4924	15050	4921
0:06:40	30.0	16418	5376	16371	5203	15254	5182	14916	5342	15253	4965	14915	4893
0:06:45	30.0	16379	5413	16404	5206	15379	5166	14948	5295	15275	4944	14861	4905
0:06:50	30.0	16549	5391	16366	5241	15232	5149	14926	5344	15345	5004	14971	4904
0:06:55	30.0	16551	5416	16373	5165	15380	5178	15058	5319	15258	4935	15006	4939
0:07:00	30.0	16414	5385	16421	5239	15168	5179	14888	5331	15314	4973	14829	4896
0:07:05	30.0	16464	5436	16318	5178	15295	5138	14920	5343	15274	4967	14917	4911
0:07:10	30.0	16521	5393	16434	5227	15205	5118	14990	5366	15230	5001	14867	4888
0:07:15	30.0	16467	5417	16331	5216	15214	5187	14907	5314	15206	4970	14856	4897
0:07:20	30.0	16395	5380	16297	5210	15251	5185	14909	5335	15452	4951	14895	4886
0:07:25	30.0	16578	5420	16417	5202	15213	5188	15101	5353	15503	4959	14856	4954
0:07:30	30.0	16623	5422	16445	5198	15221	5207	14844	5343	15283	4954	14838	4922
0:07:35	30.0	16384	5446	16460	5219	15220	5152	15043	5297	15293	4928	14943	4901
0:07:40	30.0	16408	5347	16498	5170	15188	5169	14939	5349	15236	5000	14997	4920
0:07:45	30.0	16545	5429	16445	5163	15236	5169	14960	5418	15335	5004	14947	4916
0:07:50	30.0	16569	5433	16388	5250	15301	5142	14858	5314	15252	4952	14995	4906
0:07:55	30.0	16494	5418	16463	5244	15230	5158	14761	5359	15248	5023	14924	4908
0:08:00	30.0	16530	5421	16434	5229	15249	5227	14832	5397	15276	4948	14925	4906
0:08:05	30.0	16465	5400	16319	5217	15147	5229	14889	5416	15273	4974	14861	4908
0:08:10	30.0	16353	5406	16419	5228	15212	5161	14945	5375	15273	4996	14808	4906
0:08:15	30.0	16376	5422	16423	5204	15103	5204	14912	5332	15234	4996	15026	4914
0:08:20	30.0	16345	5436	16325	5275	15259	5173	14820	5318	15199	4987	14916	4948
0:08:25	30.0	16399	5436	16299	5195	15354	5137	14987	5332	15235	4983	14887	4907
0:08:30	30.0	16444	5413	16380	5195	15187	5158	14950	5367	15247	5036	14901	4936
0:08:35	30.0	16493	5399	16379	5176	15286	5220	14854	5386	15267	4997	14829	4954
0:08:40	30.0	16409	5427	16259	5218	15073	5169	14887	5377	15219	4983	14769	4953
0:08:45	30.0	16461	5413	16257	5250	15109	5173	14947	5359	15244	4973	14805	4915
0:08:50	30.0	16391	5441	16301	5238	15194	5156	14866	5367	15210	4993	14894	4918
0:08:55	30.0	16266	5445	16339	5267	15170	5206	14820	5373	15181	4954	14998	4900
0:09:00	30.0	16272	5420	16416	5202	15254	5229	14929	5353	15246	4990	14815	4927
0:09:05	30.0	16381	5448	16188	5259	15153	5170	14907	5357	15256	4982	14820	4915
0:09:10	30.0	16406	5450	16215	5215	15290	5202	14950	5408	15244	4978	14898	4927
0:09:15	30.0	16392	5426	16253	5260	15249	5206	14891	5364	15265	5035	14881	4927
0:09:20	30.0	16334	5477	16405	5172	15135	5206	14861	5399	15264	4995	14890	4937
0:09:25	30.0	16332	5430	16220	5271	15191	5222	14955	5393	15188	5025	14806	4929
0:09:30	30.0	16280	5445	16255	5257	15070	5205	14839	5371	15197	4980	14787	4965
0:09:35	30.0	16359	5421	16286	5249	15328	5202	14920	5357	15289	5001	14888	4934
0:09:40	30.0	16434	5437	16175	5240	15235	5187	14895	5381	15175	4967	14883	4943
0:09:45	30.0	16442	5450	16315	5245	15155	5186	14881	5385	15176	5050	14754	4954
0:09:50	30.0	16418	5428	16372	5253	15175	5206	14827	5352	15117	4985	14703	4888
0:09:55	30.0	16299	5434	16286	5284	15088	5187	14821	5354	15112	5087	14847	4951
0:10:00	30.0	16263	5466	16320	5298	15200	5216	14768	5391	15407	5002	14958	4946
0:10:05	30.0	16503	5430	16263	5240	15212	5224	14908	5362	15181	5031	14861	4938
0:10:10	30.0	16187	5411	16402	5298	15211	5196	14914	5364	15211	5001	14824	4943
0:10:15	30.0	16281	5426	16323	5260	15214	5252	14757	5481	15218	5043	14895	4960
0:10:20	30.0	16295	5439	16393	5245	15135	5172	14794	5387	15182	5021	14705	4937
0:10:25	30.0	16445	5445	16226	5216	15024	5199	14776	5388	15193	5053	14719	4967
0:10:30	30.0	16207	5464	16245	5292	15134	5206	14749	5390	15172	5002	14843	4876
0:10:35	30.0	16269	5388	16288	5219	15063	5200	14931	5361	15159	5018	14880	4942
0:10:40	30.0	16247	5460	16395	5252	15176	5225	14788	5367	15297	5005	14820	4930
0:10:45	30.0	16259	5445	16272	5221	15229	5201	14794	5433	15224	5034	14874	4960
0:10:50	30.0	16348	5467	16212	5215	15174	5197	14823	5395	15219	5046	14809	5043
