

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\CJM\20210118_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\CJM\GAP_Assay.prt



Plate Number	Plate 1
Date	1/18/2021
Time	5:30:35 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	5244	5091	5151	5120	5419	4838	7177	6877	7310	7012	7387	6825
0:00:05	30.0	5308	5135	5306	5096	5322	4833	7323	6927	7343	7045	7579	6790
0:00:10	30.0	5443	5082	5322	4973	5401	4801	7483	6965	7474	7026	7645	6764
0:00:15	30.0	5537	5110	5424	4988	5486	4820	7558	6887	7489	7068	7715	6797
0:00:20	30.0	5627	5137	5543	5011	5613	4814	7677	6929	7641	7019	7923	6829
0:00:25	30.0	5795	5126	5568	5000	5762	4903	7877	6927	7839	6993	8032	6807
0:00:30	30.0	5879	5137	5684	5002	5847	4875	8001	6959	7870	7018	8177	6757
0:00:35	30.0	6017	5156	5753	5017	5958	4856	8046	6977	7995	6976	8278	6771
0:00:40	30.0	6074	5120	5854	5019	6063	4852	8227	6976	8091	7060	8418	6810
0:00:45	30.0	6197	5159	5951	5036	6162	4846	8384	6957	8205	6982	8533	6846
0:00:50	30.0	6274	5115	6040	5044	6199	4902	8463	6974	8282	7030	8694	6771
0:00:55	30.0	6427	5101	6120	5034	6353	4865	8518	6969	8383	7035	8784	6767
0:01:00	30.0	6555	5113	6182	5041	6421	4877	8753	6940	8506	7044	8862	6793
