

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\CJM\20210120_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\CJM\GAP_Assay.prt



Plate Number	Plate 1
Date	1/20/2021
Time	5:02:53 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30�C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	G1..G12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
H													Well ID

425,457

Time	T� 425,457	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12
0:00:00	30.0	5793	5545	4726	4783	5325	5233	10106	9621	9358	9542	9464	9646
0:00:05	30.0	6078	5569	4791	4793	5381	5261	10214	9662	9448	9523	9541	9657
0:00:10	30.0	5888	5548	4816	4848	5419	5352	10266	9695	9501	9538	9580	9653
0:00:15	30.0	5974	5596	4835	4837	5487	5269	10459	9669	9373	9484	9664	9715
0:00:20	30.0	6032	5537	4876	4857	5518	5238	10438	9676	9425	9544	9678	9731
0:00:25	30.0	6084	5575	4908	4827	5579	5289	10534	9706	9457	9361	9762	9691
0:00:30	30.0	6165	5620	4942	4856	5664	5297	10718	9691	9394	9354	9798	9626
0:00:35	30.0	6269	5609	4948	4854	5690	5308	10683	9672	9480	9382	9873	9624
0:00:40	30.0	6380	5612	4984	4846	5724	5293	10772	9680	9497	9397	9926	9640
0:00:45	30.0	6544	5581	5052	4856	5792	5301	10831	9657	9505	9416	10013	9642
0:00:50	30.0	6532	5583	5009	4869	5803	5330	10963	9780	9539	9368	10028	9650
0:00:55	30.0	6663	5631	5064	4698	5870	5286	11026	9741	9716	9387	10063	9674
0:01:00	30.0	6763	5514	5057	4702	5928	5283	11158	9735	9712	9338	10083	9695
0:01:05	30.0	6852	5633	5120	4708	5987	5260	11262	9735	9624	9321	10154	9612
0:01:10	30.0	6994	5603	5118	4736	6063	5288	11308	9689	9751	9357	10155	9718
0:01:15	30.0	7097	5625	5150	4690	6107	5310	11408	9692	9693	9394	10252	9725
0:01:20	30.0	7226	5574	5222	4692	6140	5306	11486	9690	9745	9330	10367	9652
0:01:25	30.0	7215	5583	5203	4704	6171	5304	11613	9641	9804	9354	10340	9736
0:01:30	30.0	7338	5657	5220	4700	6226	5282	11638	9712	9790	9358	10457	9681
0:01:35	30.0	7475	5617	5233	4719	6313	5335	11817	9744	9865	9415	10509	9630
0:01:40	30.0	7507	5635	5291	4704	6398	5313	11833	9704	9926	9405	10603	9766
0:01:45	30.0	7648	5609	5303	4669	6440	5269	11905	9691	9892	9308	10584	9681
0:01:50	30.0	7743	5690	5389	4723	6507	5308	11904	9661	9941	9365	10633	9670
0:01:55	30.0	7779	5684	5324	4675	6591	5310	12128	9746	9996	9398	10688	9665
0:02:00	30.0	7933	5688	5432	4699	6663	5353	12198	9658	9983	9344	10742	9631
0:02:05	30.0	8011	5667	5404	4737	6675	5285	12258	9753	9988	9349	10777	9581
0:02:10	30.0	8015	5687	5478	4710	6699	5323	12346	9713	10157	9390	10795	9665
0:02:15	30.0	8134	5638	5444	4675	6830	5297	12511	9709	10116	9381	10929	9651
0:02:20	30.0	8252	5698	5500	4721	6837	5347	12493	9757	10251	9348	11017	9702
0:02:25	30.0	8353	5670	5534	4708	6952	5330	12535	9638	10209	9380	10957	9666
0:02:30	30.0	8459	5670	5544	4731	6928	5346	12688	9798	10197	9402	11086	9600
0:02:35	30.0	8489	5676	5579	4680	7028	5330	12689	9664	10281	9324	11057	9653
0:02:40	30.0	8592	5707	5554	4701	7063	5361	12827	9735	10202	9334	11216	9614
0:02:45	30.0	8684	5717	5604	4696	7103	5346	12883	9663	10292	9385	11241	9659
0:02:50	30.0	8774	5701	5633	4721	7170	5362	13083	9687	10274	9350	11290	9605
0:02:55	30.0	8868	5685	5672	4768	7201	5367	13057	9764	10295	9368	11275	9723
0:03:00	30.0	8930	5706	5759	4730	7271	5401	13180	9733	10403	9398	11385	9588
0:03:05	30.0	9014	5650	5794	4710	7308	5383	13238	9708	10370	9358	11380	9616
0:03:10	30.0	9205	5653	5751	4740	7349	5363	13302	9715	10424	9427	11472	9619
0:03:15	30.0	9206	5676	5730	4721	7408	5385	13487	9686	10464	9320	11566	9651
0:03:20	30.0	9372	5652	5785	4719	7524	5404	13436	9623	10436	9449	11556	9636
0:03:25	30.0	9407	5653	5793	4721	7565	5344	13569	9685	10455	9361	11621	9646
0:03:30	30.0	9570	5705	5790	4761	7658	5370	13675	9693	10451	9434	11633	9731
0:03:35	30.0	9638	5654	5852	4732	7674	5382	13753	9679	10463	9370	11712	9741
0:03:40	30.0	9709	5705	5843	4752	7651	5414	13805	9735	10567	9320	11788	9624
0:03:45	30.0	9739	5690	5911	4727	7774	5408	13931	9768	10638	9419	11851	9627
0:03:50	30.0	9864	5698	5882	4780	7835	5397	14111	9718	10621	9326	11919	9766
0:03:55	30.0	9891	5721	5889	4735	7912	5406	14099	9649	10648	9329	11966	9671
0:04:00	30.0	9971	5702	5923	4747	7994	5392	14291	9680	10676	9346	12012	9743
0:04:05	30.0	10084	5707	5959	4760	7963	5364	14304	9644	10704	9361	12070	9612
0:04:10	30.0	10152	5684	5950	4736	7987	5390	14353	9696	10718	9354	12180	9700
0:04:15	30.0	10250	5692	6013	4734	8095	5396	14375	9739	10752	9401	12251	9703
0:04:20	30.0	10410	5737	5978	4751	8142	5371	14632	9695	10754	9357	12218	9643
0:04:25	30.0	10394	5765	6022	4748	8148	5369	14566	9805	10752	9301	12378	9634
0:04:30	30.0	10490	5767	6075	4735	8266	5395	14731	9756	10805	9335	12302	9615
0:04:35	30.0	10601	5716	6050	4805	8294	5340	14689	9689	10868	9306	12489	9723
0:04:40	30.0	10653	5696	6124	4763	8357	5426	14798	9695	10827	9361	12497	9697
0:04:45	30.0	10791	5716	6124	4720	8368	5438	14825	9765	11027	9305	12437	9705
0:04:50	30.0	10860	5742	6080	4772	8454	5376	14991	9718	10840	9330	12519	9695
0:04:55	30.0	10980	5728	6177	4768	8563	5483	15062	9661	11029	9337	12654	9720
0:05:00	30.0	11045	5774	6173	4832	8555	5410	15087	9680	11040	9331	12732	9731
0:05:05	30.0	11098	5757	6177	4744	8618	5414	15092	9724	11042	9318	12931	9709
0:05:10	30.0	11173	5763	6181	4825	8772	5382	15262	9698	11001	9402	12753	9670
0:05:15	30.0	11443	5715	6164	4795	8721	5423	15382	9643	11043	9376	12837	9772
0:05:20	30.0	11350	5757	6170	4798	8851	5429	15385	9718	11048	9320	12891	9758
0:05:25	30.0	11524	5785	6280	4798	8885	5451	15451	9683	11187	9307	12927	9651
0:05:30	30.0	11656	5788	6203	4773	9021	5450	15504	9782	11059	9347	13085	9742
0:05:35	30.0	11724	5776	6267	4825	8972	5473	15795	9796	11057	9321	13099	9700
0:05:40	30.0	11767	5746	6272	4809	9058	5432	15883	9671	11140	9352	13256	9672
0:05:45	30.0	11858	5815	6265	4851	9103	5398	15663	9733	11160	9357	13086	9759
0:05:50	30.0	11951	5840	6282	4877	9125	5422	15908	9798	11190	9332	13220	9801
0:05:55	30.0	12109	5755	6315	4832	9227	5396	15929	9808	11137	9292	13288	9779
0:06:00	30.0	11997	5792	6318	4787	9261	5501	16085	9733	11239	9264	13248	9796
0:06:05	30.0	12168	5777	6354	4832	9334	5397	16172	9683	11227	9300	13341	9714
0:06:10	30.0	12370	5799	6392	4791	9429	5413	16147	9732	11276	9272	13388	9778
0:06:15	30.0	12369	5789	6441	4852	9391	5372	16318	9787	11334	9308	13418	9732
0:06:20	30.0	12444	5792	6416	4811	9490	5413	16294	9725	11340	9312	13568	9638
0:06:25	30.0	12525	5821	6452	4820	9523	5471	16380	9677	11334	9297	13594	9727
0:06:30	30.0	12670	5787	6425	4809	9669	5426	16562	9791	11291	9327	13688	9812
0:06:35	30.0	12689	5773	6515	4802	9665	5486	16538	9737	11319	9259	13780	9676
0:06:40	30.0	12796	5807	6475	4792	9733	5421	16620	9744	11329	9363	13720	9675
0:06:45	30.0	12963	5779	6456	4796	9856	5431	16647	9737	11361	9229	13857	9721
0:06:50	30.0	12832	5751	6506	4815	9903	5428	16796	9758	11333	9278	13890	9724
0:06:55	30.0	13103	5836	6502	4787	9907	5411	16977	9673	11489	9383	13846	9712
0:07:00	30.0	13143	5769	6556	4821	9932	5451	16933	9819	11462	9290	14020	9707
0:07:05	30.0	13286	5793	6586	4847	10013	5470	16962	9774	11456	9331	13966	9756
0:07:10	30.0	13326	5839	6589	4782	10109	5441	17109	9797	11436	9259	14099	9693
0:07:15	30.0	13721	5755	6612	4773	10072	5422	17163	9702	11465	9356	14095	9785
0:07:20	30.0	13679	5828	6572	4838	10115	5462	17310	9711	11468	9224	14274	9812
