11/11/2020 12:54 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	13.915
220.5	14.579
221.0	15.530
221.5	16.271
222.0	16.707
222.5	17.518
223.0	18.224
223.5	18.893
224.0	19.945
224.5	20.561
225.0	20.780
225.5	20.925
226.0	20.887
226.5	20.712
227.0	20.434
227.5	20.095
228.0	19.697
228.5	19.248
229.0	18.746
229.5	18.195
230.0	17.555
230.5	16.873
231.0	16.163
231.5	15.411
232.0	14.630
232.5	13.796
233.0	12.934
233.5	12.093
234.0	11.279
234.5	10.483
235.0	9.728
235.5	9.007
236.0	8.332
236.5	7.710
237.0	7.118
237.5	6.536
238.0	5.966
238.5	5.435
239.0	4.981
239.5	4.614
240.0	4.330
240.5	4.107
241.0	3.928
241.5	3.778
242.0	3.652
242.5	3.532
243.0	3.422
243.5	3.326
244.0	3.249
244.5	3.191
245.0	3.146
245.5	3.110
246.0	3.079
246.5	3.051
247.0	3.031
247.5	3.019
248.0	3.012
248.5	3.011
249.0	3.015
249.5	3.021
250.0	3.031
250.5	3.043
251.0	3.057
251.5	3.074
252.0	3.095
252.5	3.120
253.0	3.150
253.5	3.183
254.0	3.223
254.5	3.257
255.0	3.293
255.5	3.335
256.0	3.382
256.5	3.438
257.0	3.492
257.5	3.534
258.0	3.571
258.5	3.602
259.0	3.627
259.5	3.650
260.0	3.670
260.5	3.689
261.0	3.708
261.5	3.723
262.0	3.742
262.5	3.760
263.0	3.778
263.5	3.796
264.0	3.816
264.5	3.839
265.0	3.869
265.5	3.897
266.0	3.921
266.5	3.944
267.0	3.963
267.5	3.983
268.0	3.999
268.5	4.013
269.0	4.025
269.5	4.037
270.0	4.047
270.5	4.059
271.0	4.072
271.5	4.083
272.0	4.092
272.5	4.099
273.0	4.103
273.5	4.106
274.0	4.107
274.5	4.107
275.0	4.106
275.5	4.104
276.0	4.100
276.5	4.096
277.0	4.086
277.5	4.073
278.0	4.053
278.5	4.025
279.0	3.995
279.5	3.964
280.0	3.931
280.5	3.895
