condition	Time	fluorescence
20201117-F28V-A6-10-0-20	0	6602
20201117-F28V-A6-10-0-20	5	6634
20201117-F28V-A6-10-0-20	10	6588
20201117-F28V-A6-10-0-20	15	6609
20201117-F28V-A6-10-0-20	20	6628
20201117-F28V-A6-10-0-20	25	6591
20201117-F28V-A6-10-0-20	30	6580
20201117-F28V-A6-10-0-20	35	6630
20201117-F28V-A6-10-0-20	40	6577
20201117-F28V-A6-10-0-20	45	6578
20201117-F28V-A6-10-0-20	50	6591
20201117-F28V-A6-10-0-20	55	6590
20201117-F28V-A6-10-0-20	60	6580
20201117-F28V-A6-10-0-20	65	6582
20201117-F28V-A6-10-0-20	70	6665
20201117-F28V-A6-10-0-20	75	6596
20201117-F28V-A6-10-0-20	80	6589
20201117-F28V-A6-10-0-20	85	6608
20201117-F28V-A6-10-0-20	90	6542
20201117-F28V-A6-10-0-20	95	6553
20201117-F28V-A6-10-0-20	100	6575
20201117-F28V-A6-10-0-20	105	6603
20201117-F28V-A6-10-0-20	110	6574
20201117-F28V-A6-10-0-20	115	6600
20201117-F28V-A6-10-0-20	120	6605
20201117-F28V-A6-10-0-20	125	6571
20201117-F28V-A6-10-0-20	130	6551
20201117-F28V-A6-10-0-20	135	6583
20201117-F28V-A6-10-0-20	140	6647
20201117-F28V-A6-10-0-20	145	6572
20201117-F28V-A6-10-0-20	150	6574
20201117-F28V-A6-10-0-20	155	6642
20201117-F28V-A6-10-0-20	160	6622
20201117-F28V-A6-10-0-20	165	6581
20201117-F28V-A6-10-0-20	170	6593
20201117-F28V-A6-10-0-20	175	6605
20201117-F28V-A6-10-0-20	180	6639
20201117-F28V-A6-10-0-20	185	6608
20201117-F28V-A6-10-0-20	190	6548
20201117-F28V-A6-10-0-20	195	6660
20201117-F28V-A6-10-0-20	200	6629
20201117-F28V-A6-10-0-20	205	6606
20201117-F28V-A6-10-0-20	210	6652
20201117-F28V-A6-10-0-20	215	6724
20201117-F28V-A6-10-0-20	220	6677
20201117-F28V-A6-10-0-20	225	6634
20201117-F28V-A6-10-0-20	230	6641
20201117-F28V-A6-10-0-20	235	6747
20201117-F28V-A6-10-0-20	240	6681
20201117-F28V-A6-10-0-20	245	6605
20201117-F28V-A6-10-0-20	250	6669
20201117-F28V-A6-10-0-20	255	6634
20201117-F28V-A6-10-0-20	260	6634
20201117-F28V-A6-10-0-20	265	6683
20201117-F28V-A6-10-0-20	270	6734
20201117-F28V-A6-10-0-20	275	6647
20201117-F28V-A6-10-0-20	280	6678
20201117-F28V-A6-10-0-20	285	6640
20201117-F28V-A6-10-0-20	290	6697
20201117-F28V-A6-10-0-20	295	6656
20201117-F28V-A6-10-0-20	300	6690
20201117-F28V-A6-10-0-20	305	6641
20201117-F28V-A6-10-0-20	310	6668
20201117-F28V-A6-10-0-20	315	6690
20201117-F28V-A6-10-0-20	320	6696
20201117-F28V-A6-10-0-20	325	6673
20201117-F28V-A6-10-0-20	330	6594
20201117-F28V-A6-10-0-20	335	6682
20201117-F28V-A6-10-0-20	340	6620
20201117-F28V-A6-10-0-20	345	6659
20201117-F28V-A6-10-0-20	350	6672
20201117-F28V-A6-10-0-20	355	6680
20201117-F28V-A6-10-0-20	360	6639
20201117-F28V-A6-10-0-20	365	6722
20201117-F28V-A6-10-0-20	370	6684
20201117-F28V-A6-10-0-20	375	6637
20201117-F28V-A6-10-0-20	380	6633
20201117-F28V-A6-10-0-20	385	6667
20201117-F28V-A6-10-0-20	390	6687
20201117-F28V-A6-10-0-20	395	6659
20201117-F28V-A6-10-0-20	400	6593
20201117-F28V-A6-10-0-20	405	6663
20201117-F28V-A6-10-0-20	410	6638
20201117-F28V-A6-10-0-20	415	6647
20201117-F28V-A6-10-0-20	420	6647
20201117-F28V-A6-10-0-20	425	6613
20201117-F28V-A6-10-0-20	430	6667
20201117-F28V-A6-10-0-20	435	6636
20201117-F28V-A6-10-0-20	440	6644
20201117-F28V-A6-10-0-20	445	6655
20201117-F28V-A6-10-0-20	450	6665
20201117-F28V-A6-10-0-20	455	6639
20201117-F28V-A6-10-0-20	460	6656
20201117-F28V-A6-10-0-20	465	6640
20201117-F28V-A6-10-0-20	470	6641
20201117-F28V-A6-10-0-20	475	6619
20201117-F28V-A6-10-0-20	480	6627
20201117-F28V-A6-10-0-20	485	6696
20201117-F28V-A6-10-0-20	490	6646
20201117-F28V-A6-10-0-20	495	6638
20201117-F28V-A6-10-0-20	500	6622
20201117-F28V-A6-10-0-20	505	6637
20201117-F28V-A6-10-0-20	510	6701
20201117-F28V-A6-10-0-20	515	6600
20201117-F28V-A6-10-0-20	520	6645
20201117-F28V-A6-10-0-20	525	6681
20201117-F28V-A6-10-0-20	530	6637
20201117-F28V-A6-10-0-20	535	6620
20201117-F28V-A6-10-0-20	540	6646
20201117-F28V-A6-10-0-20	545	6641
20201117-F28V-A6-10-0-20	550	6714
20201117-F28V-A6-10-0-20	555	6713
20201117-F28V-A6-10-0-20	560	6610
20201117-F28V-A6-10-0-20	565	6624
20201117-F28V-A6-10-0-20	570	6677
20201117-F28V-A6-10-0-20	575	6637
20201117-F28V-A6-10-0-20	580	6691
20201117-F28V-A6-10-0-20	585	6664
20201117-F28V-A6-10-0-20	590	6655
20201117-F28V-A6-10-0-20	595	6651
20201117-F28V-A6-10-0-20	600	6653
20201117-F28V-A6-10-0-20	605	6616
20201117-F28V-A6-10-0-20	610	6637
20201117-F28V-A6-10-0-20	615	6605
20201117-F28V-A6-10-0-20	620	6643
20201117-F28V-A6-10-0-20	625	6687
20201117-F28V-A6-10-0-20	630	6716
20201117-F28V-A6-10-0-20	635	6626
20201117-F28V-A6-10-0-20	640	6658
20201117-F28V-A6-10-0-20	645	6710
20201117-F28V-A6-10-0-20	650	6669
20201117-F28V-A6-10-0-20	655	6691
20201117-F28V-A6-10-0-20	660	6659
20201117-F28V-A6-10-0-20	665	6668
20201117-F28V-A6-10-0-20	670	6655
20201117-F28V-A6-10-0-20	675	6683
20201117-F28V-A6-10-0-20	680	6744
20201117-F28V-A6-10-0-20	685	6661
20201117-F28V-A6-10-0-20	690	6669
20201117-F28V-A6-10-0-20	695	6656
20201117-F28V-A6-10-0-20	700	6653
20201117-F28V-A6-10-0-20	705	6675
20201117-F28V-A6-10-0-20	710	6705
20201117-F28V-A6-10-0-20	715	6654
20201117-F28V-A6-10-0-20	720	6635
20201117-F28V-A6-10-0-20	725	6689
20201117-F28V-A6-10-0-20	730	6746
20201117-F28V-A6-10-0-20	735	6601
20201117-F28V-A6-10-0-20	740	6638
20201117-F28V-A6-10-0-20	745	6743
20201117-F28V-A6-10-0-20	750	6678
20201117-F28V-A6-10-0-20	755	6727
20201117-F28V-A6-10-0-20	760	6765
20201117-F28V-A6-10-0-20	765	6688
20201117-F28V-A6-10-0-20	770	6673
20201117-F28V-A6-10-0-20	775	6703
20201117-F28V-A6-10-0-20	780	6644
20201117-F28V-A6-10-0-20	785	6727
20201117-F28V-A6-10-0-20	790	6640
20201117-F28V-A6-10-0-20	795	6698
20201117-F28V-A6-10-0-20	800	6691
20201117-F28V-A6-10-0-20	805	6666
20201117-F28V-A6-10-0-20	810	6680
20201117-F28V-A6-10-0-20	815	6711
20201117-F28V-A6-10-0-20	820	6762
20201117-F28V-A6-10-0-20	825	6727
20201117-F28V-A6-10-0-20	830	6708
20201117-F28V-A6-10-0-20	835	6691
20201117-F28V-A6-10-0-20	840	6679
20201117-F28V-A6-10-0-20	845	6735
20201117-F28V-A6-10-0-20	850	6714
20201117-F28V-A6-10-0-20	855	6778
20201117-F28V-A6-10-0-20	860	6687
20201117-F28V-A6-10-0-20	865	6756
20201117-F28V-A6-10-0-20	870	6677
20201117-F28V-A6-10-0-20	875	6709
20201117-F28V-A6-10-0-20	880	6756
20201117-F28V-A6-10-0-20	885	6722
20201117-F28V-A6-10-0-20	890	6746
20201117-F28V-A6-10-0-20	895	6777
20201117-F28V-A6-10-0-20	900	6691
20201117-F28V-A6-10-0-20	905	6742
20201117-F28V-A6-10-0-20	910	6709
20201117-F28V-A6-10-0-20	915	6694
20201117-F28V-A6-10-0-20	920	6768
20201117-F28V-A6-10-0-20	925	6746
20201117-F28V-A6-10-0-20	930	6774
20201117-F28V-A6-10-0-20	935	6762
20201117-F28V-A6-10-0-20	940	6703
20201117-F28V-A6-10-0-20	945	6727
20201117-F28V-A6-10-0-20	950	6662
20201117-F28V-A6-10-0-20	955	6693
20201117-F28V-A6-10-0-20	960	6706
20201117-F28V-A6-10-0-20	965	6725
20201117-F28V-A6-10-0-20	970	6811
20201117-F28V-A6-10-0-20	975	6754
20201117-F28V-A6-10-0-20	980	6776
20201117-F28V-A6-10-0-20	985	6694
20201117-F28V-A6-10-0-20	990	6737
20201117-F28V-A6-10-0-20	995	6723
20201117-F28V-A6-10-0-20	1000	6730
20201117-F28V-A6-10-0-20	1005	6726
20201117-F28V-A6-10-0-20	1010	6775
20201117-F28V-A6-10-0-20	1015	6765
20201117-F28V-A6-10-0-20	1020	6736
20201117-F28V-A6-10-0-20	1025	6758
20201117-F28V-A6-10-0-20	1030	6764
20201117-F28V-A6-10-0-20	1035	6793
20201117-F28V-A6-10-0-20	1040	6771
20201117-F28V-A6-10-0-20	1045	6790
20201117-F28V-A6-10-0-20	1050	6740
20201117-F28V-A6-10-0-20	1055	6720
20201117-F28V-A6-10-0-20	1060	6754
20201117-F28V-A6-10-0-20	1065	6749
20201117-F28V-A6-10-0-20	1070	6796
20201117-F28V-A6-10-0-20	1075	6762
20201117-F28V-A6-10-0-20	1080	6795
20201117-F28V-A6-10-0-20	1085	6779
20201117-F28V-A6-10-0-20	1090	6815
20201117-F28V-A6-10-0-20	1095	6741
20201117-F28V-A6-10-0-20	1100	6767
20201117-F28V-A6-10-0-20	1105	6753
20201117-F28V-A6-10-0-20	1110	6799
20201117-F28V-A6-10-0-20	1115	6752
20201117-F28V-A6-10-0-20	1120	6772
20201117-F28V-A6-10-0-20	1125	6726
20201117-F28V-A6-10-0-20	1130	6773
20201117-F28V-A6-10-0-20	1135	6775
20201117-F28V-A6-10-0-20	1140	6762
20201117-F28V-A6-10-0-20	1145	6726
20201117-F28V-A6-10-0-20	1150	6757
20201117-F28V-A6-10-0-20	1155	6775
20201117-F28V-A6-10-0-20	1160	6825
20201117-F28V-A6-10-0-20	1165	6812
20201117-F28V-A6-10-0-20	1170	6813
20201117-F28V-A6-10-0-20	1175	6732
20201117-F28V-A6-10-0-20	1180	6775
20201117-F28V-A6-10-0-20	1185	6738
20201117-F28V-A6-10-0-20	1190	6808
20201117-F28V-A6-10-0-20	1195	6789
20201117-F28V-A6-10-0-20	1200	6815
20201117-F28V-A6-10-0-20	1205	6818
20201117-F28V-A6-10-0-20	1210	6810
20201117-F28V-A6-10-0-20	1215	6815
20201117-F28V-A6-10-0-20	1220	6826
20201117-F28V-A6-10-0-20	1225	6760
20201117-F28V-A6-10-0-20	1230	6758
20201117-F28V-A6-10-0-20	1235	6820
20201117-F28V-A6-10-0-20	1240	6836
20201117-F28V-A6-10-0-20	1245	6808
20201117-F28V-A6-10-0-20	1250	6733
20201117-F28V-A6-10-0-20	1255	6819
20201117-F28V-A6-10-0-20	1260	6790
20201117-F28V-A6-10-0-20	1265	6831
20201117-F28V-A6-10-0-20	1270	6797
20201117-F28V-A6-10-0-20	1275	6849
20201117-F28V-A6-10-0-20	1280	6844
20201117-F28V-A6-10-0-20	1285	6763
20201117-F28V-A6-10-0-20	1290	6807
20201117-F28V-A6-10-0-20	1295	6876
20201117-F28V-A6-10-0-20	1300	6843
20201117-F28V-A6-10-0-20	1305	6875
20201117-F28V-A6-10-0-20	1310	6807
20201117-F28V-A6-10-0-20	1315	6772
20201117-F28V-A6-10-0-20	1320	6857
20201117-F28V-A6-10-0-20	1325	6820
20201117-F28V-A6-10-0-20	1330	6867
20201117-F28V-A6-10-0-20	1335	6773
20201117-F28V-A6-10-0-20	1340	6821
20201117-F28V-A6-10-0-20	1345	6844
20201117-F28V-A6-10-0-20	1350	6819
20201117-F28V-A6-10-0-20	1355	6849
20201117-F28V-A6-10-0-20	1360	6842
20201117-F28V-A6-10-0-20	1365	6868
20201117-F28V-A6-10-0-20	1370	6877
20201117-F28V-A6-10-0-20	1375	6835
20201117-F28V-A6-10-0-20	1380	6831
20201117-F28V-A6-10-0-20	1385	6829
20201117-F28V-A6-10-0-20	1390	6876
20201117-F28V-A6-10-0-20	1395	6897
20201117-F28V-A6-10-0-20	1400	6855
20201117-F28V-A6-10-0-20	1405	6852
20201117-F28V-A6-10-0-20	1410	6878
20201117-F28V-A6-10-0-20	1415	6872
20201117-F28V-A6-10-0-20	1420	6881
20201117-F28V-A6-10-0-20	1425	6806
20201117-F28V-A6-10-0-20	1430	6859
20201117-F28V-A6-10-0-20	1435	6798
20201117-F28V-A6-10-0-20	1440	6871
20201117-F28V-A6-10-0-20	1445	6868
20201117-F28V-A6-10-0-20	1450	6887
20201117-F28V-A6-10-0-20	1455	6883
20201117-F28V-A6-10-0-20	1460	6833
20201117-F28V-A6-10-0-20	1465	6848
20201117-F28V-A6-10-0-20	1470	6906
20201117-F28V-A6-10-0-20	1475	6818
20201117-F28V-A6-10-0-20	1480	6800
20201117-F28V-A6-10-0-20	1485	6952
20201117-F28V-A6-10-0-20	1490	6800
20201117-F28V-A6-10-0-20	1495	6864
20201117-F28V-A6-10-0-20	1500	6907
20201117-F28V-A6-10-0-20	1505	6892
20201117-F28V-A6-10-0-20	1510	6888
20201117-F28V-A6-10-0-20	1515	6867
20201117-F28V-A6-10-0-20	1520	6829
20201117-F28V-A6-10-0-20	1525	6839
20201117-F28V-A6-10-0-20	1530	6876
20201117-F28V-A6-10-0-20	1535	6871
20201117-F28V-A6-10-0-20	1540	6927
20201117-F28V-A6-10-0-20	1545	6879
20201117-F28V-A6-10-0-20	1550	6888
20201117-F28V-A6-10-0-20	1555	6898
20201117-F28V-A6-10-0-20	1560	6856
20201117-F28V-A6-10-0-20	1565	6841
20201117-F28V-A6-10-0-20	1570	6905
20201117-F28V-A6-10-0-20	1575	6873
20201117-F28V-A6-10-0-20	1580	6909
20201117-F28V-A6-10-0-20	1585	6888
20201117-F28V-A6-10-0-20	1590	6864
20201117-F28V-A6-10-0-20	1595	6920
20201117-F28V-A6-10-0-20	1600	6890
20201117-F28V-A6-10-0-20	1605	6871
20201117-F28V-A6-10-0-20	1610	6969
20201117-F28V-A6-10-0-20	1615	6897
20201117-F28V-A6-10-0-20	1620	6958
20201117-F28V-A6-10-0-20	1625	6865
20201117-F28V-A6-10-0-20	1630	6930
20201117-F28V-A6-10-0-20	1635	6921
20201117-F28V-A6-10-0-20	1640	6869
20201117-F28V-A6-10-0-20	1645	6951
20201117-F28V-A6-10-0-20	1650	6881
20201117-F28V-A6-10-0-20	1655	6920
20201117-F28V-A6-10-0-20	1660	6890
20201117-F28V-A6-10-0-20	1665	6996
20201117-F28V-A6-10-0-20	1670	6952
20201117-F28V-A6-10-0-20	1675	6974
20201117-F28V-A6-10-0-20	1680	6924
20201117-F28V-A6-10-0-20	1685	6980
20201117-F28V-A6-10-0-20	1690	6930
20201117-F28V-A6-10-0-20	1695	6909
