condition	Time	fluorescence
20201117-F28Y-A10-10.395-0-20	0	6315
20201117-F28Y-A10-10.395-0-20	5	6343
20201117-F28Y-A10-10.395-0-20	10	6278
20201117-F28Y-A10-10.395-0-20	15	6276
20201117-F28Y-A10-10.395-0-20	20	6279
20201117-F28Y-A10-10.395-0-20	25	6332
20201117-F28Y-A10-10.395-0-20	30	6318
20201117-F28Y-A10-10.395-0-20	35	6286
20201117-F28Y-A10-10.395-0-20	40	6274
20201117-F28Y-A10-10.395-0-20	45	6350
20201117-F28Y-A10-10.395-0-20	50	6266
20201117-F28Y-A10-10.395-0-20	55	6290
20201117-F28Y-A10-10.395-0-20	60	6261
20201117-F28Y-A10-10.395-0-20	65	6292
20201117-F28Y-A10-10.395-0-20	70	6322
20201117-F28Y-A10-10.395-0-20	75	6268
20201117-F28Y-A10-10.395-0-20	80	6262
20201117-F28Y-A10-10.395-0-20	85	6303
20201117-F28Y-A10-10.395-0-20	90	6306
20201117-F28Y-A10-10.395-0-20	95	6308
20201117-F28Y-A10-10.395-0-20	100	6265
20201117-F28Y-A10-10.395-0-20	105	6249
20201117-F28Y-A10-10.395-0-20	110	6285
20201117-F28Y-A10-10.395-0-20	115	6330
20201117-F28Y-A10-10.395-0-20	120	6272
20201117-F28Y-A10-10.395-0-20	125	6327
20201117-F28Y-A10-10.395-0-20	130	6323
20201117-F28Y-A10-10.395-0-20	135	6385
20201117-F28Y-A10-10.395-0-20	140	6310
20201117-F28Y-A10-10.395-0-20	145	6333
20201117-F28Y-A10-10.395-0-20	150	6356
20201117-F28Y-A10-10.395-0-20	155	6356
20201117-F28Y-A10-10.395-0-20	160	6308
20201117-F28Y-A10-10.395-0-20	165	6301
20201117-F28Y-A10-10.395-0-20	170	6346
20201117-F28Y-A10-10.395-0-20	175	6346
20201117-F28Y-A10-10.395-0-20	180	6308
20201117-F28Y-A10-10.395-0-20	185	6354
20201117-F28Y-A10-10.395-0-20	190	6354
20201117-F28Y-A10-10.395-0-20	195	6333
20201117-F28Y-A10-10.395-0-20	200	6315
20201117-F28Y-A10-10.395-0-20	205	6330
20201117-F28Y-A10-10.395-0-20	210	6321
20201117-F28Y-A10-10.395-0-20	215	6281
20201117-F28Y-A10-10.395-0-20	220	6322
20201117-F28Y-A10-10.395-0-20	225	6357
20201117-F28Y-A10-10.395-0-20	230	6295
20201117-F28Y-A10-10.395-0-20	235	6326
20201117-F28Y-A10-10.395-0-20	240	6325
20201117-F28Y-A10-10.395-0-20	245	6301
20201117-F28Y-A10-10.395-0-20	250	6274
20201117-F28Y-A10-10.395-0-20	255	6364
20201117-F28Y-A10-10.395-0-20	260	6279
20201117-F28Y-A10-10.395-0-20	265	6290
20201117-F28Y-A10-10.395-0-20	270	6293
20201117-F28Y-A10-10.395-0-20	275	6296
20201117-F28Y-A10-10.395-0-20	280	6341
20201117-F28Y-A10-10.395-0-20	285	6302
20201117-F28Y-A10-10.395-0-20	290	6286
20201117-F28Y-A10-10.395-0-20	295	6342
20201117-F28Y-A10-10.395-0-20	300	6269
20201117-F28Y-A10-10.395-0-20	305	6245
20201117-F28Y-A10-10.395-0-20	310	6324
20201117-F28Y-A10-10.395-0-20	315	6318
20201117-F28Y-A10-10.395-0-20	320	6286
20201117-F28Y-A10-10.395-0-20	325	6252
20201117-F28Y-A10-10.395-0-20	330	6282
20201117-F28Y-A10-10.395-0-20	335	6291
20201117-F28Y-A10-10.395-0-20	340	6342
20201117-F28Y-A10-10.395-0-20	345	6335
20201117-F28Y-A10-10.395-0-20	350	6270
20201117-F28Y-A10-10.395-0-20	355	6261
20201117-F28Y-A10-10.395-0-20	360	6346
20201117-F28Y-A10-10.395-0-20	365	6298
20201117-F28Y-A10-10.395-0-20	370	6291
20201117-F28Y-A10-10.395-0-20	375	6305
20201117-F28Y-A10-10.395-0-20	380	6291
20201117-F28Y-A10-10.395-0-20	385	6350
20201117-F28Y-A10-10.395-0-20	390	6290
20201117-F28Y-A10-10.395-0-20	395	6354
20201117-F28Y-A10-10.395-0-20	400	6341
20201117-F28Y-A10-10.395-0-20	405	6303
20201117-F28Y-A10-10.395-0-20	410	6338
20201117-F28Y-A10-10.395-0-20	415	6307
20201117-F28Y-A10-10.395-0-20	420	6327
20201117-F28Y-A10-10.395-0-20	425	6329
20201117-F28Y-A10-10.395-0-20	430	6268
20201117-F28Y-A10-10.395-0-20	435	6306
20201117-F28Y-A10-10.395-0-20	440	6276
20201117-F28Y-A10-10.395-0-20	445	6319
20201117-F28Y-A10-10.395-0-20	450	6361
20201117-F28Y-A10-10.395-0-20	455	6284
20201117-F28Y-A10-10.395-0-20	460	6329
20201117-F28Y-A10-10.395-0-20	465	6277
20201117-F28Y-A10-10.395-0-20	470	6294
20201117-F28Y-A10-10.395-0-20	475	6307
20201117-F28Y-A10-10.395-0-20	480	6271
20201117-F28Y-A10-10.395-0-20	485	6319
20201117-F28Y-A10-10.395-0-20	490	6326
20201117-F28Y-A10-10.395-0-20	495	6284
20201117-F28Y-A10-10.395-0-20	500	6298
20201117-F28Y-A10-10.395-0-20	505	6266
20201117-F28Y-A10-10.395-0-20	510	6301
20201117-F28Y-A10-10.395-0-20	515	6334
20201117-F28Y-A10-10.395-0-20	520	6259
20201117-F28Y-A10-10.395-0-20	525	6331
20201117-F28Y-A10-10.395-0-20	530	6284
20201117-F28Y-A10-10.395-0-20	535	6306
20201117-F28Y-A10-10.395-0-20	540	6306
20201117-F28Y-A10-10.395-0-20	545	6300
20201117-F28Y-A10-10.395-0-20	550	6314
20201117-F28Y-A10-10.395-0-20	555	6374
20201117-F28Y-A10-10.395-0-20	560	6285
20201117-F28Y-A10-10.395-0-20	565	6287
20201117-F28Y-A10-10.395-0-20	570	6324
20201117-F28Y-A10-10.395-0-20	575	6284
20201117-F28Y-A10-10.395-0-20	580	6343
20201117-F28Y-A10-10.395-0-20	585	6285
20201117-F28Y-A10-10.395-0-20	590	6311
20201117-F28Y-A10-10.395-0-20	595	6240
20201117-F28Y-A10-10.395-0-20	600	6314
20201117-F28Y-A10-10.395-0-20	605	6342
20201117-F28Y-A10-10.395-0-20	610	6314
20201117-F28Y-A10-10.395-0-20	615	6287
20201117-F28Y-A10-10.395-0-20	620	6337
20201117-F28Y-A10-10.395-0-20	625	6301
20201117-F28Y-A10-10.395-0-20	630	6328
20201117-F28Y-A10-10.395-0-20	635	6344
20201117-F28Y-A10-10.395-0-20	640	6304
20201117-F28Y-A10-10.395-0-20	645	6336
20201117-F28Y-A10-10.395-0-20	650	6362
20201117-F28Y-A10-10.395-0-20	655	6294
20201117-F28Y-A10-10.395-0-20	660	6376
20201117-F28Y-A10-10.395-0-20	665	6323
20201117-F28Y-A10-10.395-0-20	670	6354
20201117-F28Y-A10-10.395-0-20	675	6288
20201117-F28Y-A10-10.395-0-20	680	6343
20201117-F28Y-A10-10.395-0-20	685	6338
20201117-F28Y-A10-10.395-0-20	690	6367
20201117-F28Y-A10-10.395-0-20	695	6340
20201117-F28Y-A10-10.395-0-20	700	6350
20201117-F28Y-A10-10.395-0-20	705	6305
20201117-F28Y-A10-10.395-0-20	710	6379
20201117-F28Y-A10-10.395-0-20	715	6278
20201117-F28Y-A10-10.395-0-20	720	6367
20201117-F28Y-A10-10.395-0-20	725	6343
20201117-F28Y-A10-10.395-0-20	730	6346
20201117-F28Y-A10-10.395-0-20	735	6333
20201117-F28Y-A10-10.395-0-20	740	6338
20201117-F28Y-A10-10.395-0-20	745	6331
20201117-F28Y-A10-10.395-0-20	750	6332
20201117-F28Y-A10-10.395-0-20	755	6382
20201117-F28Y-A10-10.395-0-20	760	6325
20201117-F28Y-A10-10.395-0-20	765	6331
20201117-F28Y-A10-10.395-0-20	770	6310
20201117-F28Y-A10-10.395-0-20	775	6354
20201117-F28Y-A10-10.395-0-20	780	6328
20201117-F28Y-A10-10.395-0-20	785	6325
20201117-F28Y-A10-10.395-0-20	790	6311
20201117-F28Y-A10-10.395-0-20	795	6327
20201117-F28Y-A10-10.395-0-20	800	6367
20201117-F28Y-A10-10.395-0-20	805	6327
20201117-F28Y-A10-10.395-0-20	810	6322
20201117-F28Y-A10-10.395-0-20	815	6333
20201117-F28Y-A10-10.395-0-20	820	6340
20201117-F28Y-A10-10.395-0-20	825	6362
20201117-F28Y-A10-10.395-0-20	830	6367
20201117-F28Y-A10-10.395-0-20	835	6350
20201117-F28Y-A10-10.395-0-20	840	6354
20201117-F28Y-A10-10.395-0-20	845	6314
20201117-F28Y-A10-10.395-0-20	850	6354
20201117-F28Y-A10-10.395-0-20	855	6288
20201117-F28Y-A10-10.395-0-20	860	6360
20201117-F28Y-A10-10.395-0-20	865	6325
20201117-F28Y-A10-10.395-0-20	870	6373
20201117-F28Y-A10-10.395-0-20	875	6347
20201117-F28Y-A10-10.395-0-20	880	6333
20201117-F28Y-A10-10.395-0-20	885	6333
20201117-F28Y-A10-10.395-0-20	890	6298
20201117-F28Y-A10-10.395-0-20	895	6365
20201117-F28Y-A10-10.395-0-20	900	6384
20201117-F28Y-A10-10.395-0-20	905	6302
20201117-F28Y-A10-10.395-0-20	910	6291
20201117-F28Y-A10-10.395-0-20	915	6345
20201117-F28Y-A10-10.395-0-20	920	6331
20201117-F28Y-A10-10.395-0-20	925	6300
20201117-F28Y-A10-10.395-0-20	930	6314
