condition	Time	fluorescence
20201117-WT-A2-5-0-20	0	4848
20201117-WT-A2-5-0-20	5	4771
20201117-WT-A2-5-0-20	10	4784
20201117-WT-A2-5-0-20	15	4758
20201117-WT-A2-5-0-20	20	4768
20201117-WT-A2-5-0-20	25	4754
20201117-WT-A2-5-0-20	30	4785
20201117-WT-A2-5-0-20	35	4778
20201117-WT-A2-5-0-20	40	4790
20201117-WT-A2-5-0-20	45	4793
20201117-WT-A2-5-0-20	50	4786
20201117-WT-A2-5-0-20	55	4785
20201117-WT-A2-5-0-20	60	4786
20201117-WT-A2-5-0-20	65	4770
20201117-WT-A2-5-0-20	70	4787
20201117-WT-A2-5-0-20	75	4810
20201117-WT-A2-5-0-20	80	4836
20201117-WT-A2-5-0-20	85	4808
20201117-WT-A2-5-0-20	90	4843
20201117-WT-A2-5-0-20	95	4832
20201117-WT-A2-5-0-20	100	4854
20201117-WT-A2-5-0-20	105	4821
20201117-WT-A2-5-0-20	110	4857
20201117-WT-A2-5-0-20	115	4889
20201117-WT-A2-5-0-20	120	4863
20201117-WT-A2-5-0-20	125	4839
20201117-WT-A2-5-0-20	130	4859
20201117-WT-A2-5-0-20	135	4866
20201117-WT-A2-5-0-20	140	4847
20201117-WT-A2-5-0-20	145	4827
20201117-WT-A2-5-0-20	150	4843
20201117-WT-A2-5-0-20	155	4794
20201117-WT-A2-5-0-20	160	4836
20201117-WT-A2-5-0-20	165	4847
20201117-WT-A2-5-0-20	170	4836
20201117-WT-A2-5-0-20	175	4898
20201117-WT-A2-5-0-20	180	4857
20201117-WT-A2-5-0-20	185	4835
20201117-WT-A2-5-0-20	190	4851
20201117-WT-A2-5-0-20	195	4816
20201117-WT-A2-5-0-20	200	4831
20201117-WT-A2-5-0-20	205	4853
20201117-WT-A2-5-0-20	210	4879
20201117-WT-A2-5-0-20	215	4818
20201117-WT-A2-5-0-20	220	4836
20201117-WT-A2-5-0-20	225	4859
20201117-WT-A2-5-0-20	230	4850
20201117-WT-A2-5-0-20	235	4769
20201117-WT-A2-5-0-20	240	4800
20201117-WT-A2-5-0-20	245	4786
20201117-WT-A2-5-0-20	250	4803
20201117-WT-A2-5-0-20	255	4875
20201117-WT-A2-5-0-20	260	4875
20201117-WT-A2-5-0-20	265	4851
20201117-WT-A2-5-0-20	270	4813
20201117-WT-A2-5-0-20	275	4772
20201117-WT-A2-5-0-20	280	4796
20201117-WT-A2-5-0-20	285	4781
20201117-WT-A2-5-0-20	290	4795
20201117-WT-A2-5-0-20	295	4808
20201117-WT-A2-5-0-20	300	4818
20201117-WT-A2-5-0-20	305	4816
20201117-WT-A2-5-0-20	310	4781
20201117-WT-A2-5-0-20	315	4801
20201117-WT-A2-5-0-20	320	4782
20201117-WT-A2-5-0-20	325	4794
20201117-WT-A2-5-0-20	330	4807
20201117-WT-A2-5-0-20	335	4820
20201117-WT-A2-5-0-20	340	4835
20201117-WT-A2-5-0-20	345	4807
20201117-WT-A2-5-0-20	350	4794
20201117-WT-A2-5-0-20	355	4811
20201117-WT-A2-5-0-20	360	4831
20201117-WT-A2-5-0-20	365	4834
20201117-WT-A2-5-0-20	370	4788
20201117-WT-A2-5-0-20	375	4792
20201117-WT-A2-5-0-20	380	4793
20201117-WT-A2-5-0-20	385	4801
20201117-WT-A2-5-0-20	390	4772
20201117-WT-A2-5-0-20	395	4822
20201117-WT-A2-5-0-20	400	4796
20201117-WT-A2-5-0-20	405	4843
20201117-WT-A2-5-0-20	410	4820
20201117-WT-A2-5-0-20	415	4790
20201117-WT-A2-5-0-20	420	4826
20201117-WT-A2-5-0-20	425	4830
20201117-WT-A2-5-0-20	430	4839
20201117-WT-A2-5-0-20	435	4793
20201117-WT-A2-5-0-20	440	4797
20201117-WT-A2-5-0-20	445	4827
20201117-WT-A2-5-0-20	450	4780
20201117-WT-A2-5-0-20	455	4767
20201117-WT-A2-5-0-20	460	4826
20201117-WT-A2-5-0-20	465	4814
20201117-WT-A2-5-0-20	470	4809
20201117-WT-A2-5-0-20	475	4764
20201117-WT-A2-5-0-20	480	4821
