condition	Time	fluorescence
20210117-G35A-C12-5-0-20	0	4751
20210117-G35A-C12-5-0-20	5	4691
20210117-G35A-C12-5-0-20	10	4704
20210117-G35A-C12-5-0-20	15	4732
20210117-G35A-C12-5-0-20	20	4748
20210117-G35A-C12-5-0-20	25	4727
20210117-G35A-C12-5-0-20	30	4710
20210117-G35A-C12-5-0-20	35	4739
20210117-G35A-C12-5-0-20	40	4742
20210117-G35A-C12-5-0-20	45	4816
20210117-G35A-C12-5-0-20	50	4727
20210117-G35A-C12-5-0-20	55	4722
20210117-G35A-C12-5-0-20	60	4722
20210117-G35A-C12-5-0-20	65	4816
20210117-G35A-C12-5-0-20	70	4789
20210117-G35A-C12-5-0-20	75	4813
20210117-G35A-C12-5-0-20	80	4749
20210117-G35A-C12-5-0-20	85	4764
20210117-G35A-C12-5-0-20	90	4774
20210117-G35A-C12-5-0-20	95	4744
20210117-G35A-C12-5-0-20	100	4803
20210117-G35A-C12-5-0-20	105	4850
20210117-G35A-C12-5-0-20	110	4779
20210117-G35A-C12-5-0-20	115	4801
20210117-G35A-C12-5-0-20	120	4803
20210117-G35A-C12-5-0-20	125	4785
20210117-G35A-C12-5-0-20	130	4840
20210117-G35A-C12-5-0-20	135	4797
20210117-G35A-C12-5-0-20	140	4863
20210117-G35A-C12-5-0-20	145	4814
20210117-G35A-C12-5-0-20	150	4840
20210117-G35A-C12-5-0-20	155	4821
20210117-G35A-C12-5-0-20	160	4855
20210117-G35A-C12-5-0-20	165	4841
20210117-G35A-C12-5-0-20	170	4836
20210117-G35A-C12-5-0-20	175	4835
20210117-G35A-C12-5-0-20	180	4843
20210117-G35A-C12-5-0-20	185	4881
20210117-G35A-C12-5-0-20	190	4902
20210117-G35A-C12-5-0-20	195	4860
20210117-G35A-C12-5-0-20	200	4881
20210117-G35A-C12-5-0-20	205	4901
20210117-G35A-C12-5-0-20	210	4872
20210117-G35A-C12-5-0-20	215	4894
20210117-G35A-C12-5-0-20	220	4908
20210117-G35A-C12-5-0-20	225	4937
20210117-G35A-C12-5-0-20	230	4921
20210117-G35A-C12-5-0-20	235	4911
20210117-G35A-C12-5-0-20	240	4894
20210117-G35A-C12-5-0-20	245	4877
20210117-G35A-C12-5-0-20	250	4903
20210117-G35A-C12-5-0-20	255	4919
20210117-G35A-C12-5-0-20	260	4880
20210117-G35A-C12-5-0-20	265	4877
20210117-G35A-C12-5-0-20	270	4866
20210117-G35A-C12-5-0-20	275	4899
20210117-G35A-C12-5-0-20	280	4902
20210117-G35A-C12-5-0-20	285	4915
20210117-G35A-C12-5-0-20	290	4875
20210117-G35A-C12-5-0-20	295	4879
20210117-G35A-C12-5-0-20	300	4908
20210117-G35A-C12-5-0-20	305	4878
20210117-G35A-C12-5-0-20	310	4920
20210117-G35A-C12-5-0-20	315	4910
20210117-G35A-C12-5-0-20	320	4940
20210117-G35A-C12-5-0-20	325	4924
20210117-G35A-C12-5-0-20	330	4878
20210117-G35A-C12-5-0-20	335	4926
20210117-G35A-C12-5-0-20	340	4933
20210117-G35A-C12-5-0-20	345	4895
20210117-G35A-C12-5-0-20	350	4910
20210117-G35A-C12-5-0-20	355	4897
20210117-G35A-C12-5-0-20	360	4931
20210117-G35A-C12-5-0-20	365	4899
20210117-G35A-C12-5-0-20	370	4940
20210117-G35A-C12-5-0-20	375	4919
20210117-G35A-C12-5-0-20	380	4874
20210117-G35A-C12-5-0-20	385	4903
20210117-G35A-C12-5-0-20	390	4906
20210117-G35A-C12-5-0-20	395	4921
20210117-G35A-C12-5-0-20	400	4893
20210117-G35A-C12-5-0-20	405	4905
20210117-G35A-C12-5-0-20	410	4904
20210117-G35A-C12-5-0-20	415	4939
20210117-G35A-C12-5-0-20	420	4896
20210117-G35A-C12-5-0-20	425	4911
20210117-G35A-C12-5-0-20	430	4888
20210117-G35A-C12-5-0-20	435	4897
20210117-G35A-C12-5-0-20	440	4886
20210117-G35A-C12-5-0-20	445	4954
20210117-G35A-C12-5-0-20	450	4922
20210117-G35A-C12-5-0-20	455	4901
20210117-G35A-C12-5-0-20	460	4920
20210117-G35A-C12-5-0-20	465	4916
20210117-G35A-C12-5-0-20	470	4906
20210117-G35A-C12-5-0-20	475	4908
20210117-G35A-C12-5-0-20	480	4906
20210117-G35A-C12-5-0-20	485	4908
20210117-G35A-C12-5-0-20	490	4906
