condition	Time	fluorescence
20210117-G35D-C9-5-1-20	0	5674
20210117-G35D-C9-5-1-20	5	5916
20210117-G35D-C9-5-1-20	10	6156
20210117-G35D-C9-5-1-20	15	6370
20210117-G35D-C9-5-1-20	20	6556
20210117-G35D-C9-5-1-20	25	6851
20210117-G35D-C9-5-1-20	30	7024
20210117-G35D-C9-5-1-20	35	7347
20210117-G35D-C9-5-1-20	40	7631
20210117-G35D-C9-5-1-20	45	7751
20210117-G35D-C9-5-1-20	50	7998
20210117-G35D-C9-5-1-20	55	8193
20210117-G35D-C9-5-1-20	60	8488
20210117-G35D-C9-5-1-20	65	8678
20210117-G35D-C9-5-1-20	70	8913
20210117-G35D-C9-5-1-20	75	9202
20210117-G35D-C9-5-1-20	80	9384
20210117-G35D-C9-5-1-20	85	9641
20210117-G35D-C9-5-1-20	90	9857
20210117-G35D-C9-5-1-20	95	9995
20210117-G35D-C9-5-1-20	100	10231
20210117-G35D-C9-5-1-20	105	10470
20210117-G35D-C9-5-1-20	110	10721
20210117-G35D-C9-5-1-20	115	10954
20210117-G35D-C9-5-1-20	120	11216
20210117-G35D-C9-5-1-20	125	11328
20210117-G35D-C9-5-1-20	130	11536
20210117-G35D-C9-5-1-20	135	11768
20210117-G35D-C9-5-1-20	140	12019
20210117-G35D-C9-5-1-20	145	12166
20210117-G35D-C9-5-1-20	150	12382
20210117-G35D-C9-5-1-20	155	12486
20210117-G35D-C9-5-1-20	160	12772
20210117-G35D-C9-5-1-20	165	12963
20210117-G35D-C9-5-1-20	170	13191
20210117-G35D-C9-5-1-20	175	13343
20210117-G35D-C9-5-1-20	180	13486
20210117-G35D-C9-5-1-20	185	13573
20210117-G35D-C9-5-1-20	190	13712
20210117-G35D-C9-5-1-20	195	13866
20210117-G35D-C9-5-1-20	200	14028
20210117-G35D-C9-5-1-20	205	14298
20210117-G35D-C9-5-1-20	210	14307
20210117-G35D-C9-5-1-20	215	14321
20210117-G35D-C9-5-1-20	220	14556
20210117-G35D-C9-5-1-20	225	14647
20210117-G35D-C9-5-1-20	230	14642
20210117-G35D-C9-5-1-20	235	14841
20210117-G35D-C9-5-1-20	240	14912
20210117-G35D-C9-5-1-20	245	15025
20210117-G35D-C9-5-1-20	250	14965
20210117-G35D-C9-5-1-20	255	15109
20210117-G35D-C9-5-1-20	260	15058
20210117-G35D-C9-5-1-20	265	15097
20210117-G35D-C9-5-1-20	270	15206
20210117-G35D-C9-5-1-20	275	15115
20210117-G35D-C9-5-1-20	280	15260
20210117-G35D-C9-5-1-20	285	15308
20210117-G35D-C9-5-1-20	290	15378
20210117-G35D-C9-5-1-20	295	15242
20210117-G35D-C9-5-1-20	300	15393
20210117-G35D-C9-5-1-20	305	15486
20210117-G35D-C9-5-1-20	310	15380
20210117-G35D-C9-5-1-20	315	15323
20210117-G35D-C9-5-1-20	320	15316
20210117-G35D-C9-5-1-20	325	15312
20210117-G35D-C9-5-1-20	330	15299
20210117-G35D-C9-5-1-20	335	15346
20210117-G35D-C9-5-1-20	340	15389
20210117-G35D-C9-5-1-20	345	15312
20210117-G35D-C9-5-1-20	350	15400
20210117-G35D-C9-5-1-20	355	15482
20210117-G35D-C9-5-1-20	360	15312
20210117-G35D-C9-5-1-20	365	15317
20210117-G35D-C9-5-1-20	370	15362
20210117-G35D-C9-5-1-20	375	15228
20210117-G35D-C9-5-1-20	380	15275
20210117-G35D-C9-5-1-20	385	15390
20210117-G35D-C9-5-1-20	390	15321
20210117-G35D-C9-5-1-20	395	15457
20210117-G35D-C9-5-1-20	400	15253
20210117-G35D-C9-5-1-20	405	15275
20210117-G35D-C9-5-1-20	410	15345
20210117-G35D-C9-5-1-20	415	15258
20210117-G35D-C9-5-1-20	420	15314
20210117-G35D-C9-5-1-20	425	15274
20210117-G35D-C9-5-1-20	430	15230
20210117-G35D-C9-5-1-20	435	15206
20210117-G35D-C9-5-1-20	440	15452
20210117-G35D-C9-5-1-20	445	15503
20210117-G35D-C9-5-1-20	450	15283
20210117-G35D-C9-5-1-20	455	15293
20210117-G35D-C9-5-1-20	460	15236
20210117-G35D-C9-5-1-20	465	15335
20210117-G35D-C9-5-1-20	470	15252
20210117-G35D-C9-5-1-20	475	15248
20210117-G35D-C9-5-1-20	480	15276
20210117-G35D-C9-5-1-20	485	15273
20210117-G35D-C9-5-1-20	490	15273
20210117-G35D-C9-5-1-20	495	15234
20210117-G35D-C9-5-1-20	500	15199
20210117-G35D-C9-5-1-20	505	15235
20210117-G35D-C9-5-1-20	510	15247
20210117-G35D-C9-5-1-20	515	15267
20210117-G35D-C9-5-1-20	520	15219
20210117-G35D-C9-5-1-20	525	15244
20210117-G35D-C9-5-1-20	530	15210
20210117-G35D-C9-5-1-20	535	15181
20210117-G35D-C9-5-1-20	540	15246
20210117-G35D-C9-5-1-20	545	15256
20210117-G35D-C9-5-1-20	550	15244
20210117-G35D-C9-5-1-20	555	15265
20210117-G35D-C9-5-1-20	560	15264
20210117-G35D-C9-5-1-20	565	15188
20210117-G35D-C9-5-1-20	570	15197
20210117-G35D-C9-5-1-20	575	15289
20210117-G35D-C9-5-1-20	580	15175
20210117-G35D-C9-5-1-20	585	15176
20210117-G35D-C9-5-1-20	590	15117
20210117-G35D-C9-5-1-20	595	15112
20210117-G35D-C9-5-1-20	600	15407
20210117-G35D-C9-5-1-20	605	15181
20210117-G35D-C9-5-1-20	610	15211
20210117-G35D-C9-5-1-20	615	15218
20210117-G35D-C9-5-1-20	620	15182
20210117-G35D-C9-5-1-20	625	15193
20210117-G35D-C9-5-1-20	630	15172
20210117-G35D-C9-5-1-20	635	15159
20210117-G35D-C9-5-1-20	640	15297
20210117-G35D-C9-5-1-20	645	15224
20210117-G35D-C9-5-1-20	650	15219
20210117-G35D-C9-5-1-20	655	15193
20210117-G35D-C9-5-1-20	660	15111
20210117-G35D-C9-5-1-20	665	15136
20210117-G35D-C9-5-1-20	670	15063
20210117-G35D-C9-5-1-20	675	15048
20210117-G35D-C9-5-1-20	680	15113
20210117-G35D-C9-5-1-20	685	15209
20210117-G35D-C9-5-1-20	690	15072
20210117-G35D-C9-5-1-20	695	15284
20210117-G35D-C9-5-1-20	700	15076
20210117-G35D-C9-5-1-20	705	15282
20210117-G35D-C9-5-1-20	710	15144
20210117-G35D-C9-5-1-20	715	15075
20210117-G35D-C9-5-1-20	720	15044
20210117-G35D-C9-5-1-20	725	15060
20210117-G35D-C9-5-1-20	730	15123
20210117-G35D-C9-5-1-20	735	15031
20210117-G35D-C9-5-1-20	740	15012
20210117-G35D-C9-5-1-20	745	15140
20210117-G35D-C9-5-1-20	750	15065
20210117-G35D-C9-5-1-20	755	15019
20210117-G35D-C9-5-1-20	760	15032
20210117-G35D-C9-5-1-20	765	15091
20210117-G35D-C9-5-1-20	770	15126
20210117-G35D-C9-5-1-20	775	15015
20210117-G35D-C9-5-1-20	780	15120
20210117-G35D-C9-5-1-20	785	15008
20210117-G35D-C9-5-1-20	790	15095
20210117-G35D-C9-5-1-20	795	15169
20210117-G35D-C9-5-1-20	800	15090
20210117-G35D-C9-5-1-20	805	15237
20210117-G35D-C9-5-1-20	810	15115
20210117-G35D-C9-5-1-20	815	15019
20210117-G35D-C9-5-1-20	820	15088
20210117-G35D-C9-5-1-20	825	15043
20210117-G35D-C9-5-1-20	830	15073
20210117-G35D-C9-5-1-20	835	15036
20210117-G35D-C9-5-1-20	840	15122
20210117-G35D-C9-5-1-20	845	14960
20210117-G35D-C9-5-1-20	850	15062
20210117-G35D-C9-5-1-20	855	15055
20210117-G35D-C9-5-1-20	860	14994
20210117-G35D-C9-5-1-20	865	15108
20210117-G35D-C9-5-1-20	870	15040
20210117-G35D-C9-5-1-20	875	15126
20210117-G35D-C9-5-1-20	880	15118
20210117-G35D-C9-5-1-20	885	15103
20210117-G35D-C9-5-1-20	890	15084
20210117-G35D-C9-5-1-20	895	15021
20210117-G35D-C9-5-1-20	900	15186
20210117-G35D-C9-5-1-20	905	15045
20210117-G35D-C9-5-1-20	910	15161
20210117-G35D-C9-5-1-20	915	15029
20210117-G35D-C9-5-1-20	920	14964
20210117-G35D-C9-5-1-20	925	15110
20210117-G35D-C9-5-1-20	930	15050
20210117-G35D-C9-5-1-20	935	15055
20210117-G35D-C9-5-1-20	940	15086
20210117-G35D-C9-5-1-20	945	15150
20210117-G35D-C9-5-1-20	950	15131
20210117-G35D-C9-5-1-20	955	14997
20210117-G35D-C9-5-1-20	960	15124
20210117-G35D-C9-5-1-20	965	14998
20210117-G35D-C9-5-1-20	970	14947
20210117-G35D-C9-5-1-20	975	15056
20210117-G35D-C9-5-1-20	980	15094
20210117-G35D-C9-5-1-20	985	14996
20210117-G35D-C9-5-1-20	990	15035
20210117-G35D-C9-5-1-20	995	14967
20210117-G35D-C9-5-1-20	1000	14894
20210117-G35D-C9-5-1-20	1005	15023
20210117-G35D-C9-5-1-20	1010	15043
20210117-G35D-C9-5-1-20	1015	15087
20210117-G35D-C9-5-1-20	1020	15096
20210117-G35D-C9-5-1-20	1025	15072
20210117-G35D-C9-5-1-20	1030	15134
20210117-G35D-C9-5-1-20	1035	14961
20210117-G35D-C9-5-1-20	1040	14968
20210117-G35D-C9-5-1-20	1045	15065
20210117-G35D-C9-5-1-20	1050	14967
20210117-G35D-C9-5-1-20	1055	14987
20210117-G35D-C9-5-1-20	1060	15016
20210117-G35D-C9-5-1-20	1065	15048
20210117-G35D-C9-5-1-20	1070	15067
20210117-G35D-C9-5-1-20	1075	14920
20210117-G35D-C9-5-1-20	1080	14932
20210117-G35D-C9-5-1-20	1085	14960
20210117-G35D-C9-5-1-20	1090	15116
20210117-G35D-C9-5-1-20	1095	14900
20210117-G35D-C9-5-1-20	1100	14978
20210117-G35D-C9-5-1-20	1105	15061
20210117-G35D-C9-5-1-20	1110	14985
20210117-G35D-C9-5-1-20	1115	14931
20210117-G35D-C9-5-1-20	1120	15074
20210117-G35D-C9-5-1-20	1125	15003
20210117-G35D-C9-5-1-20	1130	14981
20210117-G35D-C9-5-1-20	1135	14912
20210117-G35D-C9-5-1-20	1140	15119
20210117-G35D-C9-5-1-20	1145	15051
20210117-G35D-C9-5-1-20	1150	15017
20210117-G35D-C9-5-1-20	1155	14951
20210117-G35D-C9-5-1-20	1160	15010
20210117-G35D-C9-5-1-20	1165	14986
20210117-G35D-C9-5-1-20	1170	14934
20210117-G35D-C9-5-1-20	1175	14890
20210117-G35D-C9-5-1-20	1180	14959
20210117-G35D-C9-5-1-20	1185	15138
20210117-G35D-C9-5-1-20	1190	14895
20210117-G35D-C9-5-1-20	1195	14957
20210117-G35D-C9-5-1-20	1200	15029
20210117-G35D-C9-5-1-20	1205	15002
20210117-G35D-C9-5-1-20	1210	14963
20210117-G35D-C9-5-1-20	1215	15026
20210117-G35D-C9-5-1-20	1220	14852
20210117-G35D-C9-5-1-20	1225	14983
20210117-G35D-C9-5-1-20	1230	14980
20210117-G35D-C9-5-1-20	1235	14988
20210117-G35D-C9-5-1-20	1240	14958
20210117-G35D-C9-5-1-20	1245	14978
20210117-G35D-C9-5-1-20	1250	14998
20210117-G35D-C9-5-1-20	1255	15043
20210117-G35D-C9-5-1-20	1260	14948
20210117-G35D-C9-5-1-20	1265	14989
20210117-G35D-C9-5-1-20	1270	15002
20210117-G35D-C9-5-1-20	1275	14902
20210117-G35D-C9-5-1-20	1280	14904
20210117-G35D-C9-5-1-20	1285	14884
20210117-G35D-C9-5-1-20	1290	15032
20210117-G35D-C9-5-1-20	1295	14894
20210117-G35D-C9-5-1-20	1300	14985
20210117-G35D-C9-5-1-20	1305	15008
20210117-G35D-C9-5-1-20	1310	14966
20210117-G35D-C9-5-1-20	1315	15023
20210117-G35D-C9-5-1-20	1320	15024
20210117-G35D-C9-5-1-20	1325	14896
20210117-G35D-C9-5-1-20	1330	14835
20210117-G35D-C9-5-1-20	1335	14890
20210117-G35D-C9-5-1-20	1340	14984
20210117-G35D-C9-5-1-20	1345	14839
20210117-G35D-C9-5-1-20	1350	14906
20210117-G35D-C9-5-1-20	1355	15014
20210117-G35D-C9-5-1-20	1360	14923
20210117-G35D-C9-5-1-20	1365	14973
20210117-G35D-C9-5-1-20	1370	15102
20210117-G35D-C9-5-1-20	1375	15001
20210117-G35D-C9-5-1-20	1380	15015
20210117-G35D-C9-5-1-20	1385	15057
20210117-G35D-C9-5-1-20	1390	14955
20210117-G35D-C9-5-1-20	1395	14935
20210117-G35D-C9-5-1-20	1400	14968
20210117-G35D-C9-5-1-20	1405	15013
20210117-G35D-C9-5-1-20	1410	14928
20210117-G35D-C9-5-1-20	1415	14981
20210117-G35D-C9-5-1-20	1420	14954
20210117-G35D-C9-5-1-20	1425	14943
20210117-G35D-C9-5-1-20	1430	15022
20210117-G35D-C9-5-1-20	1435	14897
20210117-G35D-C9-5-1-20	1440	14890
20210117-G35D-C9-5-1-20	1445	15002
20210117-G35D-C9-5-1-20	1450	14876
20210117-G35D-C9-5-1-20	1455	15003
20210117-G35D-C9-5-1-20	1460	14865
20210117-G35D-C9-5-1-20	1465	14921
20210117-G35D-C9-5-1-20	1470	14869
20210117-G35D-C9-5-1-20	1475	14802
20210117-G35D-C9-5-1-20	1480	14847
20210117-G35D-C9-5-1-20	1485	14880
20210117-G35D-C9-5-1-20	1490	14955
20210117-G35D-C9-5-1-20	1495	14795
20210117-G35D-C9-5-1-20	1500	14912
20210117-G35D-C9-5-1-20	1505	15006
20210117-G35D-C9-5-1-20	1510	14797
20210117-G35D-C9-5-1-20	1515	14800
20210117-G35D-C9-5-1-20	1520	14898
20210117-G35D-C9-5-1-20	1525	14991
20210117-G35D-C9-5-1-20	1530	15004
20210117-G35D-C9-5-1-20	1535	14895
