condition	Time	fluorescence
20210117-WT-C1-5-1-20	0	5903
20210117-WT-C1-5-1-20	5	6043
20210117-WT-C1-5-1-20	10	6303
20210117-WT-C1-5-1-20	15	6423
20210117-WT-C1-5-1-20	20	6626
20210117-WT-C1-5-1-20	25	6859
20210117-WT-C1-5-1-20	30	7136
20210117-WT-C1-5-1-20	35	7281
20210117-WT-C1-5-1-20	40	7610
20210117-WT-C1-5-1-20	45	7781
20210117-WT-C1-5-1-20	50	7952
20210117-WT-C1-5-1-20	55	8241
20210117-WT-C1-5-1-20	60	8520
20210117-WT-C1-5-1-20	65	8608
20210117-WT-C1-5-1-20	70	8933
20210117-WT-C1-5-1-20	75	9111
20210117-WT-C1-5-1-20	80	9283
20210117-WT-C1-5-1-20	85	9562
20210117-WT-C1-5-1-20	90	9768
20210117-WT-C1-5-1-20	95	10023
20210117-WT-C1-5-1-20	100	10290
20210117-WT-C1-5-1-20	105	10443
20210117-WT-C1-5-1-20	110	10702
20210117-WT-C1-5-1-20	115	10968
20210117-WT-C1-5-1-20	120	11164
20210117-WT-C1-5-1-20	125	11401
20210117-WT-C1-5-1-20	130	11673
20210117-WT-C1-5-1-20	135	11792
20210117-WT-C1-5-1-20	140	12020
20210117-WT-C1-5-1-20	145	12330
20210117-WT-C1-5-1-20	150	12387
20210117-WT-C1-5-1-20	155	12691
20210117-WT-C1-5-1-20	160	12873
20210117-WT-C1-5-1-20	165	12991
20210117-WT-C1-5-1-20	170	13296
20210117-WT-C1-5-1-20	175	13340
20210117-WT-C1-5-1-20	180	13578
20210117-WT-C1-5-1-20	185	13864
20210117-WT-C1-5-1-20	190	13916
20210117-WT-C1-5-1-20	195	14229
20210117-WT-C1-5-1-20	200	14211
20210117-WT-C1-5-1-20	205	14437
20210117-WT-C1-5-1-20	210	14746
20210117-WT-C1-5-1-20	215	14693
20210117-WT-C1-5-1-20	220	14917
20210117-WT-C1-5-1-20	225	15189
20210117-WT-C1-5-1-20	230	15205
20210117-WT-C1-5-1-20	235	15410
20210117-WT-C1-5-1-20	240	15468
20210117-WT-C1-5-1-20	245	15525
20210117-WT-C1-5-1-20	250	15795
20210117-WT-C1-5-1-20	255	15840
20210117-WT-C1-5-1-20	260	15972
20210117-WT-C1-5-1-20	265	16012
20210117-WT-C1-5-1-20	270	16207
20210117-WT-C1-5-1-20	275	16080
20210117-WT-C1-5-1-20	280	16437
20210117-WT-C1-5-1-20	285	16162
20210117-WT-C1-5-1-20	290	16234
20210117-WT-C1-5-1-20	295	16382
20210117-WT-C1-5-1-20	300	16384
20210117-WT-C1-5-1-20	305	16483
20210117-WT-C1-5-1-20	310	16516
20210117-WT-C1-5-1-20	315	16387
20210117-WT-C1-5-1-20	320	16422
20210117-WT-C1-5-1-20	325	16360
20210117-WT-C1-5-1-20	330	16625
20210117-WT-C1-5-1-20	335	16372
20210117-WT-C1-5-1-20	340	16373
20210117-WT-C1-5-1-20	345	16422
20210117-WT-C1-5-1-20	350	16494
20210117-WT-C1-5-1-20	355	16331
20210117-WT-C1-5-1-20	360	16582
20210117-WT-C1-5-1-20	365	16416
20210117-WT-C1-5-1-20	370	16379
20210117-WT-C1-5-1-20	375	16539
20210117-WT-C1-5-1-20	380	16573
20210117-WT-C1-5-1-20	385	16404
20210117-WT-C1-5-1-20	390	16421
20210117-WT-C1-5-1-20	395	16531
20210117-WT-C1-5-1-20	400	16418
20210117-WT-C1-5-1-20	405	16379
20210117-WT-C1-5-1-20	410	16549
20210117-WT-C1-5-1-20	415	16551
20210117-WT-C1-5-1-20	420	16414
20210117-WT-C1-5-1-20	425	16464
20210117-WT-C1-5-1-20	430	16521
20210117-WT-C1-5-1-20	435	16467
20210117-WT-C1-5-1-20	440	16395
20210117-WT-C1-5-1-20	445	16578
20210117-WT-C1-5-1-20	450	16623
20210117-WT-C1-5-1-20	455	16384
20210117-WT-C1-5-1-20	460	16408
20210117-WT-C1-5-1-20	465	16545
20210117-WT-C1-5-1-20	470	16569
20210117-WT-C1-5-1-20	475	16494
20210117-WT-C1-5-1-20	480	16530
20210117-WT-C1-5-1-20	485	16465
20210117-WT-C1-5-1-20	490	16353
20210117-WT-C1-5-1-20	495	16376
20210117-WT-C1-5-1-20	500	16345
20210117-WT-C1-5-1-20	505	16399
20210117-WT-C1-5-1-20	510	16444
20210117-WT-C1-5-1-20	515	16493
20210117-WT-C1-5-1-20	520	16409
20210117-WT-C1-5-1-20	525	16461
20210117-WT-C1-5-1-20	530	16391
20210117-WT-C1-5-1-20	535	16266
20210117-WT-C1-5-1-20	540	16272
20210117-WT-C1-5-1-20	545	16381
20210117-WT-C1-5-1-20	550	16406
20210117-WT-C1-5-1-20	555	16392
20210117-WT-C1-5-1-20	560	16334
20210117-WT-C1-5-1-20	565	16332
20210117-WT-C1-5-1-20	570	16280
20210117-WT-C1-5-1-20	575	16359
20210117-WT-C1-5-1-20	580	16434
20210117-WT-C1-5-1-20	585	16442
20210117-WT-C1-5-1-20	590	16418
20210117-WT-C1-5-1-20	595	16299
20210117-WT-C1-5-1-20	600	16263
20210117-WT-C1-5-1-20	605	16503
20210117-WT-C1-5-1-20	610	16187
20210117-WT-C1-5-1-20	615	16281
20210117-WT-C1-5-1-20	620	16295
20210117-WT-C1-5-1-20	625	16445
20210117-WT-C1-5-1-20	630	16207
20210117-WT-C1-5-1-20	635	16269
20210117-WT-C1-5-1-20	640	16247
20210117-WT-C1-5-1-20	645	16259
20210117-WT-C1-5-1-20	650	16348
20210117-WT-C1-5-1-20	655	16256
20210117-WT-C1-5-1-20	660	16308
20210117-WT-C1-5-1-20	665	16399
20210117-WT-C1-5-1-20	670	16200
20210117-WT-C1-5-1-20	675	16269
20210117-WT-C1-5-1-20	680	16384
20210117-WT-C1-5-1-20	685	16445
20210117-WT-C1-5-1-20	690	16256
20210117-WT-C1-5-1-20	695	16192
20210117-WT-C1-5-1-20	700	16300
20210117-WT-C1-5-1-20	705	16434
20210117-WT-C1-5-1-20	710	16329
20210117-WT-C1-5-1-20	715	16256
20210117-WT-C1-5-1-20	720	16238
20210117-WT-C1-5-1-20	725	16199
20210117-WT-C1-5-1-20	730	16302
20210117-WT-C1-5-1-20	735	16183
20210117-WT-C1-5-1-20	740	16191
20210117-WT-C1-5-1-20	745	16276
20210117-WT-C1-5-1-20	750	16250
20210117-WT-C1-5-1-20	755	16306
20210117-WT-C1-5-1-20	760	16271
20210117-WT-C1-5-1-20	765	16338
20210117-WT-C1-5-1-20	770	16260
20210117-WT-C1-5-1-20	775	16254
20210117-WT-C1-5-1-20	780	16276
20210117-WT-C1-5-1-20	785	16282
20210117-WT-C1-5-1-20	790	16061
20210117-WT-C1-5-1-20	795	16266
20210117-WT-C1-5-1-20	800	16207
20210117-WT-C1-5-1-20	805	16214
20210117-WT-C1-5-1-20	810	16246
20210117-WT-C1-5-1-20	815	16200
20210117-WT-C1-5-1-20	820	16207
20210117-WT-C1-5-1-20	825	16253
20210117-WT-C1-5-1-20	830	16211
20210117-WT-C1-5-1-20	835	16392
20210117-WT-C1-5-1-20	840	16148
20210117-WT-C1-5-1-20	845	16251
20210117-WT-C1-5-1-20	850	16210
20210117-WT-C1-5-1-20	855	16255
20210117-WT-C1-5-1-20	860	16237
20210117-WT-C1-5-1-20	865	16241
20210117-WT-C1-5-1-20	870	16274
20210117-WT-C1-5-1-20	875	16274
20210117-WT-C1-5-1-20	880	16152
20210117-WT-C1-5-1-20	885	16163
20210117-WT-C1-5-1-20	890	16108
20210117-WT-C1-5-1-20	895	16220
20210117-WT-C1-5-1-20	900	16213
20210117-WT-C1-5-1-20	905	16175
20210117-WT-C1-5-1-20	910	16186
20210117-WT-C1-5-1-20	915	16233
20210117-WT-C1-5-1-20	920	16292
20210117-WT-C1-5-1-20	925	16221
20210117-WT-C1-5-1-20	930	16156
20210117-WT-C1-5-1-20	935	16174
20210117-WT-C1-5-1-20	940	16233
20210117-WT-C1-5-1-20	945	16137
20210117-WT-C1-5-1-20	950	16165
20210117-WT-C1-5-1-20	955	16167
20210117-WT-C1-5-1-20	960	16104
20210117-WT-C1-5-1-20	965	16207
20210117-WT-C1-5-1-20	970	16037
20210117-WT-C1-5-1-20	975	16182
20210117-WT-C1-5-1-20	980	16204
20210117-WT-C1-5-1-20	985	16284
20210117-WT-C1-5-1-20	990	16144
20210117-WT-C1-5-1-20	995	16084
20210117-WT-C1-5-1-20	1000	16066
20210117-WT-C1-5-1-20	1005	16235
20210117-WT-C1-5-1-20	1010	16124
20210117-WT-C1-5-1-20	1015	16079
20210117-WT-C1-5-1-20	1020	16214
20210117-WT-C1-5-1-20	1025	16165
20210117-WT-C1-5-1-20	1030	16017
20210117-WT-C1-5-1-20	1035	16161
20210117-WT-C1-5-1-20	1040	16214
20210117-WT-C1-5-1-20	1045	16362
20210117-WT-C1-5-1-20	1050	16072
20210117-WT-C1-5-1-20	1055	16096
20210117-WT-C1-5-1-20	1060	16195
20210117-WT-C1-5-1-20	1065	16141
20210117-WT-C1-5-1-20	1070	16133
20210117-WT-C1-5-1-20	1075	16079
20210117-WT-C1-5-1-20	1080	16206
20210117-WT-C1-5-1-20	1085	16209
20210117-WT-C1-5-1-20	1090	16299
20210117-WT-C1-5-1-20	1095	16062
20210117-WT-C1-5-1-20	1100	16137
20210117-WT-C1-5-1-20	1105	16224
20210117-WT-C1-5-1-20	1110	16191
20210117-WT-C1-5-1-20	1115	16116
20210117-WT-C1-5-1-20	1120	16142
20210117-WT-C1-5-1-20	1125	16094
20210117-WT-C1-5-1-20	1130	16112
20210117-WT-C1-5-1-20	1135	16033
20210117-WT-C1-5-1-20	1140	16235
20210117-WT-C1-5-1-20	1145	16183
20210117-WT-C1-5-1-20	1150	16187
20210117-WT-C1-5-1-20	1155	16226
