condition	Time	fluorescence
20210118-F54A-E7-5-1-20	0	7177
20210118-F54A-E7-5-1-20	5	7323
20210118-F54A-E7-5-1-20	10	7483
20210118-F54A-E7-5-1-20	15	7558
20210118-F54A-E7-5-1-20	20	7677
20210118-F54A-E7-5-1-20	25	7877
20210118-F54A-E7-5-1-20	30	8001
20210118-F54A-E7-5-1-20	35	8046
20210118-F54A-E7-5-1-20	40	8227
20210118-F54A-E7-5-1-20	45	8384
20210118-F54A-E7-5-1-20	50	8463
20210118-F54A-E7-5-1-20	55	8518
20210118-F54A-E7-5-1-20	60	8753
20210118-F54A-E7-5-1-20	65	8808
20210118-F54A-E7-5-1-20	70	8924
20210118-F54A-E7-5-1-20	75	9033
20210118-F54A-E7-5-1-20	80	9196
20210118-F54A-E7-5-1-20	85	9363
20210118-F54A-E7-5-1-20	90	9416
20210118-F54A-E7-5-1-20	95	9578
20210118-F54A-E7-5-1-20	100	9664
20210118-F54A-E7-5-1-20	105	9704
20210118-F54A-E7-5-1-20	110	9977
20210118-F54A-E7-5-1-20	115	10065
20210118-F54A-E7-5-1-20	120	10177
20210118-F54A-E7-5-1-20	125	10238
20210118-F54A-E7-5-1-20	130	10292
20210118-F54A-E7-5-1-20	135	10465
20210118-F54A-E7-5-1-20	140	10514
20210118-F54A-E7-5-1-20	145	10728
20210118-F54A-E7-5-1-20	150	10854
20210118-F54A-E7-5-1-20	155	10944
20210118-F54A-E7-5-1-20	160	11115
20210118-F54A-E7-5-1-20	165	11222
20210118-F54A-E7-5-1-20	170	11277
20210118-F54A-E7-5-1-20	175	11362
20210118-F54A-E7-5-1-20	180	11547
20210118-F54A-E7-5-1-20	185	11638
20210118-F54A-E7-5-1-20	190	11689
20210118-F54A-E7-5-1-20	195	11773
20210118-F54A-E7-5-1-20	200	11843
20210118-F54A-E7-5-1-20	205	12062
20210118-F54A-E7-5-1-20	210	12147
20210118-F54A-E7-5-1-20	215	12166
20210118-F54A-E7-5-1-20	220	12308
20210118-F54A-E7-5-1-20	225	12449
20210118-F54A-E7-5-1-20	230	12634
20210118-F54A-E7-5-1-20	235	12707
20210118-F54A-E7-5-1-20	240	12727
20210118-F54A-E7-5-1-20	245	12808
20210118-F54A-E7-5-1-20	250	12907
20210118-F54A-E7-5-1-20	255	13055
20210118-F54A-E7-5-1-20	260	13138
20210118-F54A-E7-5-1-20	265	13226
20210118-F54A-E7-5-1-20	270	13274
20210118-F54A-E7-5-1-20	275	13492
20210118-F54A-E7-5-1-20	280	13428
20210118-F54A-E7-5-1-20	285	13700
20210118-F54A-E7-5-1-20	290	13682
20210118-F54A-E7-5-1-20	295	13806
20210118-F54A-E7-5-1-20	300	13959
20210118-F54A-E7-5-1-20	305	14004
20210118-F54A-E7-5-1-20	310	14121
20210118-F54A-E7-5-1-20	315	14111
20210118-F54A-E7-5-1-20	320	14270
20210118-F54A-E7-5-1-20	325	14367
20210118-F54A-E7-5-1-20	330	14358
20210118-F54A-E7-5-1-20	335	14442
20210118-F54A-E7-5-1-20	340	14518
20210118-F54A-E7-5-1-20	345	14822
20210118-F54A-E7-5-1-20	350	14716
20210118-F54A-E7-5-1-20	355	14896
20210118-F54A-E7-5-1-20	360	14919
20210118-F54A-E7-5-1-20	365	14900
20210118-F54A-E7-5-1-20	370	15083
20210118-F54A-E7-5-1-20	375	15101
20210118-F54A-E7-5-1-20	380	15291
20210118-F54A-E7-5-1-20	385	15256
20210118-F54A-E7-5-1-20	390	15396
20210118-F54A-E7-5-1-20	395	15371
20210118-F54A-E7-5-1-20	400	15396
20210118-F54A-E7-5-1-20	405	15472
20210118-F54A-E7-5-1-20	410	15642
20210118-F54A-E7-5-1-20	415	15497
20210118-F54A-E7-5-1-20	420	15624
20210118-F54A-E7-5-1-20	425	15465
20210118-F54A-E7-5-1-20	430	15747
20210118-F54A-E7-5-1-20	435	15788
20210118-F54A-E7-5-1-20	440	15751
20210118-F54A-E7-5-1-20	445	15830
20210118-F54A-E7-5-1-20	450	15848
20210118-F54A-E7-5-1-20	455	15737
20210118-F54A-E7-5-1-20	460	15758
20210118-F54A-E7-5-1-20	465	15736
20210118-F54A-E7-5-1-20	470	15821
20210118-F54A-E7-5-1-20	475	15785
20210118-F54A-E7-5-1-20	480	15692
20210118-F54A-E7-5-1-20	485	15711
20210118-F54A-E7-5-1-20	490	15933
20210118-F54A-E7-5-1-20	495	15793
20210118-F54A-E7-5-1-20	500	15938
20210118-F54A-E7-5-1-20	505	15680
20210118-F54A-E7-5-1-20	510	15717
20210118-F54A-E7-5-1-20	515	15810
20210118-F54A-E7-5-1-20	520	15749
20210118-F54A-E7-5-1-20	525	15853
20210118-F54A-E7-5-1-20	530	15745
20210118-F54A-E7-5-1-20	535	15854
20210118-F54A-E7-5-1-20	540	15724
20210118-F54A-E7-5-1-20	545	15755
20210118-F54A-E7-5-1-20	550	15794
20210118-F54A-E7-5-1-20	555	15772
20210118-F54A-E7-5-1-20	560	15841
20210118-F54A-E7-5-1-20	565	15706
20210118-F54A-E7-5-1-20	570	15708
20210118-F54A-E7-5-1-20	575	15794
20210118-F54A-E7-5-1-20	580	15737
20210118-F54A-E7-5-1-20	585	15763
20210118-F54A-E7-5-1-20	590	15799
20210118-F54A-E7-5-1-20	595	15734
20210118-F54A-E7-5-1-20	600	15659
20210118-F54A-E7-5-1-20	605	15667
20210118-F54A-E7-5-1-20	610	15654
20210118-F54A-E7-5-1-20	615	15716
20210118-F54A-E7-5-1-20	620	15674
20210118-F54A-E7-5-1-20	625	15671
20210118-F54A-E7-5-1-20	630	15704
20210118-F54A-E7-5-1-20	635	15619
20210118-F54A-E7-5-1-20	640	15695
20210118-F54A-E7-5-1-20	645	15612
20210118-F54A-E7-5-1-20	650	15722
20210118-F54A-E7-5-1-20	655	15621
20210118-F54A-E7-5-1-20	660	15663
20210118-F54A-E7-5-1-20	665	15812
20210118-F54A-E7-5-1-20	670	15578
20210118-F54A-E7-5-1-20	675	15583
20210118-F54A-E7-5-1-20	680	15653
20210118-F54A-E7-5-1-20	685	15601
20210118-F54A-E7-5-1-20	690	15703
20210118-F54A-E7-5-1-20	695	15774
20210118-F54A-E7-5-1-20	700	15691
20210118-F54A-E7-5-1-20	705	15670
