condition	Time	fluorescence
20210118-F54K-E9-5-1-20	0	7310
20210118-F54K-E9-5-1-20	5	7343
20210118-F54K-E9-5-1-20	10	7474
20210118-F54K-E9-5-1-20	15	7489
20210118-F54K-E9-5-1-20	20	7641
20210118-F54K-E9-5-1-20	25	7839
20210118-F54K-E9-5-1-20	30	7870
20210118-F54K-E9-5-1-20	35	7995
20210118-F54K-E9-5-1-20	40	8091
20210118-F54K-E9-5-1-20	45	8205
20210118-F54K-E9-5-1-20	50	8282
20210118-F54K-E9-5-1-20	55	8383
20210118-F54K-E9-5-1-20	60	8506
20210118-F54K-E9-5-1-20	65	8598
20210118-F54K-E9-5-1-20	70	8692
20210118-F54K-E9-5-1-20	75	8795
20210118-F54K-E9-5-1-20	80	8782
20210118-F54K-E9-5-1-20	85	8921
20210118-F54K-E9-5-1-20	90	9070
20210118-F54K-E9-5-1-20	95	9105
20210118-F54K-E9-5-1-20	100	9306
20210118-F54K-E9-5-1-20	105	9325
20210118-F54K-E9-5-1-20	110	9450
20210118-F54K-E9-5-1-20	115	9585
20210118-F54K-E9-5-1-20	120	9624
20210118-F54K-E9-5-1-20	125	9711
20210118-F54K-E9-5-1-20	130	9881
20210118-F54K-E9-5-1-20	135	9898
20210118-F54K-E9-5-1-20	140	10015
20210118-F54K-E9-5-1-20	145	10056
20210118-F54K-E9-5-1-20	150	10191
20210118-F54K-E9-5-1-20	155	10239
20210118-F54K-E9-5-1-20	160	10327
20210118-F54K-E9-5-1-20	165	10388
20210118-F54K-E9-5-1-20	170	10498
20210118-F54K-E9-5-1-20	175	10588
20210118-F54K-E9-5-1-20	180	10602
20210118-F54K-E9-5-1-20	185	10717
20210118-F54K-E9-5-1-20	190	10769
20210118-F54K-E9-5-1-20	195	10908
20210118-F54K-E9-5-1-20	200	10958
20210118-F54K-E9-5-1-20	205	10894
20210118-F54K-E9-5-1-20	210	11135
20210118-F54K-E9-5-1-20	215	11079
20210118-F54K-E9-5-1-20	220	11103
20210118-F54K-E9-5-1-20	225	11300
20210118-F54K-E9-5-1-20	230	11206
20210118-F54K-E9-5-1-20	235	11285
20210118-F54K-E9-5-1-20	240	11364
20210118-F54K-E9-5-1-20	245	11263
20210118-F54K-E9-5-1-20	250	11366
20210118-F54K-E9-5-1-20	255	11309
20210118-F54K-E9-5-1-20	260	11341
20210118-F54K-E9-5-1-20	265	11378
20210118-F54K-E9-5-1-20	270	11436
20210118-F54K-E9-5-1-20	275	11389
20210118-F54K-E9-5-1-20	280	11351
20210118-F54K-E9-5-1-20	285	11387
20210118-F54K-E9-5-1-20	290	11533
20210118-F54K-E9-5-1-20	295	11399
20210118-F54K-E9-5-1-20	300	11350
20210118-F54K-E9-5-1-20	305	11369
20210118-F54K-E9-5-1-20	310	11439
20210118-F54K-E9-5-1-20	315	11394
20210118-F54K-E9-5-1-20	320	11445
20210118-F54K-E9-5-1-20	325	11422
20210118-F54K-E9-5-1-20	330	11569
20210118-F54K-E9-5-1-20	335	11472
20210118-F54K-E9-5-1-20	340	11462
20210118-F54K-E9-5-1-20	345	11527
20210118-F54K-E9-5-1-20	350	11454
20210118-F54K-E9-5-1-20	355	11401
20210118-F54K-E9-5-1-20	360	11537
20210118-F54K-E9-5-1-20	365	11501
20210118-F54K-E9-5-1-20	370	11409
20210118-F54K-E9-5-1-20	375	11428
20210118-F54K-E9-5-1-20	380	11430
20210118-F54K-E9-5-1-20	385	11566
20210118-F54K-E9-5-1-20	390	11544
20210118-F54K-E9-5-1-20	395	11455
20210118-F54K-E9-5-1-20	400	11396
20210118-F54K-E9-5-1-20	405	11482
20210118-F54K-E9-5-1-20	410	11488
20210118-F54K-E9-5-1-20	415	11513
20210118-F54K-E9-5-1-20	420	11402
20210118-F54K-E9-5-1-20	425	11469
20210118-F54K-E9-5-1-20	430	11621
20210118-F54K-E9-5-1-20	435	11421
20210118-F54K-E9-5-1-20	440	11437
20210118-F54K-E9-5-1-20	445	11467
20210118-F54K-E9-5-1-20	450	11410
20210118-F54K-E9-5-1-20	455	11374
