condition	Time	fluorescence
20210118-F54W-E12-5-0-20	0	6825
20210118-F54W-E12-5-0-20	5	6790
20210118-F54W-E12-5-0-20	10	6764
20210118-F54W-E12-5-0-20	15	6797
20210118-F54W-E12-5-0-20	20	6829
20210118-F54W-E12-5-0-20	25	6807
20210118-F54W-E12-5-0-20	30	6757
20210118-F54W-E12-5-0-20	35	6771
20210118-F54W-E12-5-0-20	40	6810
20210118-F54W-E12-5-0-20	45	6846
20210118-F54W-E12-5-0-20	50	6771
20210118-F54W-E12-5-0-20	55	6767
20210118-F54W-E12-5-0-20	60	6793
20210118-F54W-E12-5-0-20	65	6778
20210118-F54W-E12-5-0-20	70	6759
20210118-F54W-E12-5-0-20	75	6799
20210118-F54W-E12-5-0-20	80	6810
20210118-F54W-E12-5-0-20	85	6774
20210118-F54W-E12-5-0-20	90	6750
20210118-F54W-E12-5-0-20	95	6745
20210118-F54W-E12-5-0-20	100	6737
20210118-F54W-E12-5-0-20	105	6810
20210118-F54W-E12-5-0-20	110	6846
20210118-F54W-E12-5-0-20	115	6819
20210118-F54W-E12-5-0-20	120	6803
20210118-F54W-E12-5-0-20	125	6769
20210118-F54W-E12-5-0-20	130	6721
20210118-F54W-E12-5-0-20	135	6807
20210118-F54W-E12-5-0-20	140	6808
20210118-F54W-E12-5-0-20	145	6797
20210118-F54W-E12-5-0-20	150	6809
20210118-F54W-E12-5-0-20	155	6846
20210118-F54W-E12-5-0-20	160	6786
20210118-F54W-E12-5-0-20	165	6760
20210118-F54W-E12-5-0-20	170	6832
20210118-F54W-E12-5-0-20	175	6831
20210118-F54W-E12-5-0-20	180	6781
20210118-F54W-E12-5-0-20	185	6826
20210118-F54W-E12-5-0-20	190	6819
20210118-F54W-E12-5-0-20	195	6846
20210118-F54W-E12-5-0-20	200	6822
20210118-F54W-E12-5-0-20	205	6818
20210118-F54W-E12-5-0-20	210	6807
20210118-F54W-E12-5-0-20	215	6802
20210118-F54W-E12-5-0-20	220	6780
20210118-F54W-E12-5-0-20	225	6859
20210118-F54W-E12-5-0-20	230	6816
20210118-F54W-E12-5-0-20	235	6744
20210118-F54W-E12-5-0-20	240	6766
20210118-F54W-E12-5-0-20	245	6875
20210118-F54W-E12-5-0-20	250	6817
20210118-F54W-E12-5-0-20	255	6790
20210118-F54W-E12-5-0-20	260	6811
20210118-F54W-E12-5-0-20	265	6792
20210118-F54W-E12-5-0-20	270	6784
20210118-F54W-E12-5-0-20	275	6798
20210118-F54W-E12-5-0-20	280	6820
20210118-F54W-E12-5-0-20	285	6830
20210118-F54W-E12-5-0-20	290	6845
20210118-F54W-E12-5-0-20	295	6828
20210118-F54W-E12-5-0-20	300	6873
20210118-F54W-E12-5-0-20	305	6856
20210118-F54W-E12-5-0-20	310	6840
20210118-F54W-E12-5-0-20	315	6810
20210118-F54W-E12-5-0-20	320	6795
20210118-F54W-E12-5-0-20	325	6821
20210118-F54W-E12-5-0-20	330	6807
20210118-F54W-E12-5-0-20	335	6883
20210118-F54W-E12-5-0-20	340	6836
20210118-F54W-E12-5-0-20	345	6843
20210118-F54W-E12-5-0-20	350	6877
20210118-F54W-E12-5-0-20	355	6833
20210118-F54W-E12-5-0-20	360	6855
20210118-F54W-E12-5-0-20	365	6847
20210118-F54W-E12-5-0-20	370	6834
20210118-F54W-E12-5-0-20	375	6839
20210118-F54W-E12-5-0-20	380	6834
20210118-F54W-E12-5-0-20	385	6799
20210118-F54W-E12-5-0-20	390	6818
20210118-F54W-E12-5-0-20	395	6901
20210118-F54W-E12-5-0-20	400	6852
20210118-F54W-E12-5-0-20	405	6872
20210118-F54W-E12-5-0-20	410	6852
20210118-F54W-E12-5-0-20	415	6871
20210118-F54W-E12-5-0-20	420	6829
20210118-F54W-E12-5-0-20	425	6911
20210118-F54W-E12-5-0-20	430	6868
20210118-F54W-E12-5-0-20	435	6835
20210118-F54W-E12-5-0-20	440	6828
20210118-F54W-E12-5-0-20	445	6854
20210118-F54W-E12-5-0-20	450	6852
20210118-F54W-E12-5-0-20	455	6837
20210118-F54W-E12-5-0-20	460	6844
20210118-F54W-E12-5-0-20	465	6832
20210118-F54W-E12-5-0-20	470	6841
20210118-F54W-E12-5-0-20	475	6853
20210118-F54W-E12-5-0-20	480	6848
20210118-F54W-E12-5-0-20	485	6842
20210118-F54W-E12-5-0-20	490	6884
20210118-F54W-E12-5-0-20	495	6903
20210118-F54W-E12-5-0-20	500	6856
20210118-F54W-E12-5-0-20	505	6814
20210118-F54W-E12-5-0-20	510	6874
20210118-F54W-E12-5-0-20	515	6846
20210118-F54W-E12-5-0-20	520	6812
20210118-F54W-E12-5-0-20	525	6869
20210118-F54W-E12-5-0-20	530	6847
20210118-F54W-E12-5-0-20	535	6872
20210118-F54W-E12-5-0-20	540	6794
20210118-F54W-E12-5-0-20	545	6814
20210118-F54W-E12-5-0-20	550	6800
20210118-F54W-E12-5-0-20	555	6851
20210118-F54W-E12-5-0-20	560	6797
20210118-F54W-E12-5-0-20	565	6885
20210118-F54W-E12-5-0-20	570	6811
20210118-F54W-E12-5-0-20	575	6839
20210118-F54W-E12-5-0-20	580	6853
20210118-F54W-E12-5-0-20	585	6872
20210118-F54W-E12-5-0-20	590	6855
