condition	Time	fluorescence
20210119-F159W-G3-5-1-20	0	4726
20210119-F159W-G3-5-1-20	5	4791
20210119-F159W-G3-5-1-20	10	4816
20210119-F159W-G3-5-1-20	15	4835
20210119-F159W-G3-5-1-20	20	4876
20210119-F159W-G3-5-1-20	25	4908
20210119-F159W-G3-5-1-20	30	4942
20210119-F159W-G3-5-1-20	35	4948
20210119-F159W-G3-5-1-20	40	4984
20210119-F159W-G3-5-1-20	45	5052
20210119-F159W-G3-5-1-20	50	5009
20210119-F159W-G3-5-1-20	55	5064
20210119-F159W-G3-5-1-20	60	5057
20210119-F159W-G3-5-1-20	65	5120
20210119-F159W-G3-5-1-20	70	5118
20210119-F159W-G3-5-1-20	75	5150
20210119-F159W-G3-5-1-20	80	5222
20210119-F159W-G3-5-1-20	85	5203
20210119-F159W-G3-5-1-20	90	5220
20210119-F159W-G3-5-1-20	95	5233
20210119-F159W-G3-5-1-20	100	5291
20210119-F159W-G3-5-1-20	105	5303
20210119-F159W-G3-5-1-20	110	5389
20210119-F159W-G3-5-1-20	115	5324
20210119-F159W-G3-5-1-20	120	5432
20210119-F159W-G3-5-1-20	125	5404
20210119-F159W-G3-5-1-20	130	5478
20210119-F159W-G3-5-1-20	135	5444
20210119-F159W-G3-5-1-20	140	5500
20210119-F159W-G3-5-1-20	145	5534
20210119-F159W-G3-5-1-20	150	5544
20210119-F159W-G3-5-1-20	155	5579
20210119-F159W-G3-5-1-20	160	5554
20210119-F159W-G3-5-1-20	165	5604
20210119-F159W-G3-5-1-20	170	5633
20210119-F159W-G3-5-1-20	175	5672
20210119-F159W-G3-5-1-20	180	5759
20210119-F159W-G3-5-1-20	185	5794
20210119-F159W-G3-5-1-20	190	5751
20210119-F159W-G3-5-1-20	195	5730
20210119-F159W-G3-5-1-20	200	5785
20210119-F159W-G3-5-1-20	205	5793
20210119-F159W-G3-5-1-20	210	5790
20210119-F159W-G3-5-1-20	215	5852
20210119-F159W-G3-5-1-20	220	5843
20210119-F159W-G3-5-1-20	225	5911
20210119-F159W-G3-5-1-20	230	5882
20210119-F159W-G3-5-1-20	235	5889
20210119-F159W-G3-5-1-20	240	5923
20210119-F159W-G3-5-1-20	245	5959
20210119-F159W-G3-5-1-20	250	5950
20210119-F159W-G3-5-1-20	255	6013
20210119-F159W-G3-5-1-20	260	5978
20210119-F159W-G3-5-1-20	265	6022
20210119-F159W-G3-5-1-20	270	6075
20210119-F159W-G3-5-1-20	275	6050
20210119-F159W-G3-5-1-20	280	6124
20210119-F159W-G3-5-1-20	285	6124
20210119-F159W-G3-5-1-20	290	6080
20210119-F159W-G3-5-1-20	295	6177
20210119-F159W-G3-5-1-20	300	6173
20210119-F159W-G3-5-1-20	305	6177
20210119-F159W-G3-5-1-20	310	6181
20210119-F159W-G3-5-1-20	315	6164
20210119-F159W-G3-5-1-20	320	6170
20210119-F159W-G3-5-1-20	325	6280
20210119-F159W-G3-5-1-20	330	6203
20210119-F159W-G3-5-1-20	335	6267
20210119-F159W-G3-5-1-20	340	6272
20210119-F159W-G3-5-1-20	345	6265
20210119-F159W-G3-5-1-20	350	6282
20210119-F159W-G3-5-1-20	355	6315
20210119-F159W-G3-5-1-20	360	6318
20210119-F159W-G3-5-1-20	365	6354
20210119-F159W-G3-5-1-20	370	6392
20210119-F159W-G3-5-1-20	375	6441
20210119-F159W-G3-5-1-20	380	6416
20210119-F159W-G3-5-1-20	385	6452
20210119-F159W-G3-5-1-20	390	6425
20210119-F159W-G3-5-1-20	395	6515
20210119-F159W-G3-5-1-20	400	6475
20210119-F159W-G3-5-1-20	405	6456
20210119-F159W-G3-5-1-20	410	6506
20210119-F159W-G3-5-1-20	415	6502
20210119-F159W-G3-5-1-20	420	6556
20210119-F159W-G3-5-1-20	425	6586
20210119-F159W-G3-5-1-20	430	6589
20210119-F159W-G3-5-1-20	435	6612
20210119-F159W-G3-5-1-20	440	6572
20210119-F159W-G3-5-1-20	445	6666
20210119-F159W-G3-5-1-20	450	6587
20210119-F159W-G3-5-1-20	455	6629
20210119-F159W-G3-5-1-20	460	6657
20210119-F159W-G3-5-1-20	465	6721
20210119-F159W-G3-5-1-20	470	6671
20210119-F159W-G3-5-1-20	475	6714
20210119-F159W-G3-5-1-20	480	6737
20210119-F159W-G3-5-1-20	485	6716
20210119-F159W-G3-5-1-20	490	6715
20210119-F159W-G3-5-1-20	495	6748
20210119-F159W-G3-5-1-20	500	6816
20210119-F159W-G3-5-1-20	505	6754
20210119-F159W-G3-5-1-20	510	6858
20210119-F159W-G3-5-1-20	515	6848
20210119-F159W-G3-5-1-20	520	6818
20210119-F159W-G3-5-1-20	525	6885
20210119-F159W-G3-5-1-20	530	6816
20210119-F159W-G3-5-1-20	535	6834
20210119-F159W-G3-5-1-20	540	6890
20210119-F159W-G3-5-1-20	545	6870
20210119-F159W-G3-5-1-20	550	6918
20210119-F159W-G3-5-1-20	555	6925
20210119-F159W-G3-5-1-20	560	6864
20210119-F159W-G3-5-1-20	565	6900
20210119-F159W-G3-5-1-20	570	6908
20210119-F159W-G3-5-1-20	575	6943
20210119-F159W-G3-5-1-20	580	6932
20210119-F159W-G3-5-1-20	585	6971
20210119-F159W-G3-5-1-20	590	7010
20210119-F159W-G3-5-1-20	595	7009
20210119-F159W-G3-5-1-20	600	7082
20210119-F159W-G3-5-1-20	605	7028
20210119-F159W-G3-5-1-20	610	7031
20210119-F159W-G3-5-1-20	615	7029
20210119-F159W-G3-5-1-20	620	7037
20210119-F159W-G3-5-1-20	625	7098
20210119-F159W-G3-5-1-20	630	7036
20210119-F159W-G3-5-1-20	635	7126
20210119-F159W-G3-5-1-20	640	7063
20210119-F159W-G3-5-1-20	645	7072
20210119-F159W-G3-5-1-20	650	7157
20210119-F159W-G3-5-1-20	655	7105
20210119-F159W-G3-5-1-20	660	7206
20210119-F159W-G3-5-1-20	665	7099
20210119-F159W-G3-5-1-20	670	7164
20210119-F159W-G3-5-1-20	675	7137
20210119-F159W-G3-5-1-20	680	7133
20210119-F159W-G3-5-1-20	685	7177
20210119-F159W-G3-5-1-20	690	7181
20210119-F159W-G3-5-1-20	695	7203
20210119-F159W-G3-5-1-20	700	7226
20210119-F159W-G3-5-1-20	705	7240
20210119-F159W-G3-5-1-20	710	7279
20210119-F159W-G3-5-1-20	715	7282
20210119-F159W-G3-5-1-20	720	7180
20210119-F159W-G3-5-1-20	725	7191
20210119-F159W-G3-5-1-20	730	7284
20210119-F159W-G3-5-1-20	735	7282
20210119-F159W-G3-5-1-20	740	7310
20210119-F159W-G3-5-1-20	745	7282
20210119-F159W-G3-5-1-20	750	7304
20210119-F159W-G3-5-1-20	755	7297
20210119-F159W-G3-5-1-20	760	7324
20210119-F159W-G3-5-1-20	765	7262
20210119-F159W-G3-5-1-20	770	7280
20210119-F159W-G3-5-1-20	775	7289
20210119-F159W-G3-5-1-20	780	7317
20210119-F159W-G3-5-1-20	785	7410
20210119-F159W-G3-5-1-20	790	7324
20210119-F159W-G3-5-1-20	795	7269
20210119-F159W-G3-5-1-20	800	7345
20210119-F159W-G3-5-1-20	805	7341
20210119-F159W-G3-5-1-20	810	7376
20210119-F159W-G3-5-1-20	815	7312
20210119-F159W-G3-5-1-20	820	7420
20210119-F159W-G3-5-1-20	825	7372
20210119-F159W-G3-5-1-20	830	7476
20210119-F159W-G3-5-1-20	835	7399
20210119-F159W-G3-5-1-20	840	7500
20210119-F159W-G3-5-1-20	845	7434
20210119-F159W-G3-5-1-20	850	7469
20210119-F159W-G3-5-1-20	855	7461
20210119-F159W-G3-5-1-20	860	7466
20210119-F159W-G3-5-1-20	865	7425
20210119-F159W-G3-5-1-20	870	7399
20210119-F159W-G3-5-1-20	875	7500
20210119-F159W-G3-5-1-20	880	7490
20210119-F159W-G3-5-1-20	885	7446
20210119-F159W-G3-5-1-20	890	7514
20210119-F159W-G3-5-1-20	895	7479
20210119-F159W-G3-5-1-20	900	7500
20210119-F159W-G3-5-1-20	905	7573
20210119-F159W-G3-5-1-20	910	7548
20210119-F159W-G3-5-1-20	915	7512
20210119-F159W-G3-5-1-20	920	7496
20210119-F159W-G3-5-1-20	925	7479
20210119-F159W-G3-5-1-20	930	7492
20210119-F159W-G3-5-1-20	935	7503
20210119-F159W-G3-5-1-20	940	7562
20210119-F159W-G3-5-1-20	945	7502
20210119-F159W-G3-5-1-20	950	7507
20210119-F159W-G3-5-1-20	955	7559
20210119-F159W-G3-5-1-20	960	7599
20210119-F159W-G3-5-1-20	965	7592
20210119-F159W-G3-5-1-20	970	7575
20210119-F159W-G3-5-1-20	975	7515
20210119-F159W-G3-5-1-20	980	7596
20210119-F159W-G3-5-1-20	985	7570
20210119-F159W-G3-5-1-20	990	7573
20210119-F159W-G3-5-1-20	995	7570
20210119-F159W-G3-5-1-20	1000	7644
20210119-F159W-G3-5-1-20	1005	7597
20210119-F159W-G3-5-1-20	1010	7577
20210119-F159W-G3-5-1-20	1015	7619
20210119-F159W-G3-5-1-20	1020	7599
20210119-F159W-G3-5-1-20	1025	7618
20210119-F159W-G3-5-1-20	1030	7554
20210119-F159W-G3-5-1-20	1035	7641
20210119-F159W-G3-5-1-20	1040	7552
20210119-F159W-G3-5-1-20	1045	7593
20210119-F159W-G3-5-1-20	1050	7656
20210119-F159W-G3-5-1-20	1055	7623
20210119-F159W-G3-5-1-20	1060	7641
20210119-F159W-G3-5-1-20	1065	7646
20210119-F159W-G3-5-1-20	1070	7665
20210119-F159W-G3-5-1-20	1075	7679
20210119-F159W-G3-5-1-20	1080	7667
20210119-F159W-G3-5-1-20	1085	7675
20210119-F159W-G3-5-1-20	1090	7674
20210119-F159W-G3-5-1-20	1095	7672
20210119-F159W-G3-5-1-20	1100	7699
20210119-F159W-G3-5-1-20	1105	7663
20210119-F159W-G3-5-1-20	1110	7635
20210119-F159W-G3-5-1-20	1115	7648
20210119-F159W-G3-5-1-20	1120	7695
20210119-F159W-G3-5-1-20	1125	7763
20210119-F159W-G3-5-1-20	1130	7671
20210119-F159W-G3-5-1-20	1135	7658
20210119-F159W-G3-5-1-20	1140	7683
20210119-F159W-G3-5-1-20	1145	7682
20210119-F159W-G3-5-1-20	1150	7714
20210119-F159W-G3-5-1-20	1155	7698
20210119-F159W-G3-5-1-20	1160	7681
20210119-F159W-G3-5-1-20	1165	7743
20210119-F159W-G3-5-1-20	1170	7759
20210119-F159W-G3-5-1-20	1175	7715
20210119-F159W-G3-5-1-20	1180	7648
20210119-F159W-G3-5-1-20	1185	7696
20210119-F159W-G3-5-1-20	1190	7729
20210119-F159W-G3-5-1-20	1195	7701
20210119-F159W-G3-5-1-20	1200	7746
20210119-F159W-G3-5-1-20	1205	7727
20210119-F159W-G3-5-1-20	1210	7736
20210119-F159W-G3-5-1-20	1215	7810
20210119-F159W-G3-5-1-20	1220	7768
20210119-F159W-G3-5-1-20	1225	7777
20210119-F159W-G3-5-1-20	1230	7747
20210119-F159W-G3-5-1-20	1235	7765
20210119-F159W-G3-5-1-20	1240	7749
20210119-F159W-G3-5-1-20	1245	7719
20210119-F159W-G3-5-1-20	1250	7752
20210119-F159W-G3-5-1-20	1255	7840
20210119-F159W-G3-5-1-20	1260	7810
20210119-F159W-G3-5-1-20	1265	7740
20210119-F159W-G3-5-1-20	1270	7739
20210119-F159W-G3-5-1-20	1275	7709
20210119-F159W-G3-5-1-20	1280	7732
20210119-F159W-G3-5-1-20	1285	7747
20210119-F159W-G3-5-1-20	1290	7751
20210119-F159W-G3-5-1-20	1295	7762
20210119-F159W-G3-5-1-20	1300	7758
20210119-F159W-G3-5-1-20	1305	7749
20210119-F159W-G3-5-1-20	1310	7753
20210119-F159W-G3-5-1-20	1315	7714
20210119-F159W-G3-5-1-20	1320	7836
20210119-F159W-G3-5-1-20	1325	7830
20210119-F159W-G3-5-1-20	1330	7774
20210119-F159W-G3-5-1-20	1335	7794
20210119-F159W-G3-5-1-20	1340	7769
20210119-F159W-G3-5-1-20	1345	7784
20210119-F159W-G3-5-1-20	1350	7825
20210119-F159W-G3-5-1-20	1355	7801
20210119-F159W-G3-5-1-20	1360	7779
20210119-F159W-G3-5-1-20	1365	7825
20210119-F159W-G3-5-1-20	1370	7804
20210119-F159W-G3-5-1-20	1375	7783
20210119-F159W-G3-5-1-20	1380	7763
20210119-F159W-G3-5-1-20	1385	7737
20210119-F159W-G3-5-1-20	1390	7845
20210119-F159W-G3-5-1-20	1395	7788
20210119-F159W-G3-5-1-20	1400	7804
20210119-F159W-G3-5-1-20	1405	7807
20210119-F159W-G3-5-1-20	1410	7792
20210119-F159W-G3-5-1-20	1415	7807
20210119-F159W-G3-5-1-20	1420	7741
20210119-F159W-G3-5-1-20	1425	7774
20210119-F159W-G3-5-1-20	1430	7770
20210119-F159W-G3-5-1-20	1435	7767
20210119-F159W-G3-5-1-20	1440	7813
20210119-F159W-G3-5-1-20	1445	7802
20210119-F159W-G3-5-1-20	1450	7794
20210119-F159W-G3-5-1-20	1455	7817
20210119-F159W-G3-5-1-20	1460	7850
20210119-F159W-G3-5-1-20	1465	7858
20210119-F159W-G3-5-1-20	1470	7793
20210119-F159W-G3-5-1-20	1475	7893
20210119-F159W-G3-5-1-20	1480	7843
20210119-F159W-G3-5-1-20	1485	7857
20210119-F159W-G3-5-1-20	1490	7830
20210119-F159W-G3-5-1-20	1495	7782
20210119-F159W-G3-5-1-20	1500	7823
20210119-F159W-G3-5-1-20	1505	7859
20210119-F159W-G3-5-1-20	1510	7822
20210119-F159W-G3-5-1-20	1515	7758
20210119-F159W-G3-5-1-20	1520	7861
20210119-F159W-G3-5-1-20	1525	7836
20210119-F159W-G3-5-1-20	1530	7881
20210119-F159W-G3-5-1-20	1535	7778
20210119-F159W-G3-5-1-20	1540	7873
20210119-F159W-G3-5-1-20	1545	7848
20210119-F159W-G3-5-1-20	1550	7783
20210119-F159W-G3-5-1-20	1555	7859
20210119-F159W-G3-5-1-20	1560	7857
20210119-F159W-G3-5-1-20	1565	7840
20210119-F159W-G3-5-1-20	1570	7799
20210119-F159W-G3-5-1-20	1575	7838
20210119-F159W-G3-5-1-20	1580	7815
20210119-F159W-G3-5-1-20	1585	7856
20210119-F159W-G3-5-1-20	1590	7837
20210119-F159W-G3-5-1-20	1595	7819
20210119-F159W-G3-5-1-20	1600	7793
20210119-F159W-G3-5-1-20	1605	7878
20210119-F159W-G3-5-1-20	1610	7831
20210119-F159W-G3-5-1-20	1615	7889
20210119-F159W-G3-5-1-20	1620	7837
20210119-F159W-G3-5-1-20	1625	7874
20210119-F159W-G3-5-1-20	1630	7829
20210119-F159W-G3-5-1-20	1635	7831
20210119-F159W-G3-5-1-20	1640	7834
20210119-F159W-G3-5-1-20	1645	7862
20210119-F159W-G3-5-1-20	1650	7879
20210119-F159W-G3-5-1-20	1655	7870
20210119-F159W-G3-5-1-20	1660	7889
20210119-F159W-G3-5-1-20	1665	7863
20210119-F159W-G3-5-1-20	1670	7871
20210119-F159W-G3-5-1-20	1675	7782
20210119-F159W-G3-5-1-20	1680	7819
20210119-F159W-G3-5-1-20	1685	7810
20210119-F159W-G3-5-1-20	1690	7865
20210119-F159W-G3-5-1-20	1695	7832
20210119-F159W-G3-5-1-20	1700	7876
20210119-F159W-G3-5-1-20	1705	7835
20210119-F159W-G3-5-1-20	1710	7852
20210119-F159W-G3-5-1-20	1715	7890
20210119-F159W-G3-5-1-20	1720	7823
