query	gene_name	cluster	gene_set	Description	query_ORF
crm1_damp	CRM1	added_damp	Gsp1 partner	Major karyopherin; involved in export of proteins, RNAs, and ribosomal subunits from the nucleus; exportin	YGR218W
cse1-5002	CSE1	pos_with_GAP	Gsp1 partner	Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L, overexpression of which is implicated in cancer progression	YGL238W
kap95-e126k	KAP95	pos_with_all	Gsp1 partner	Karyopherin beta; forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p	YLR347C
ntf2-5001	NTF2	pos_with_all	Gsp1 partner	Nuclear envelope protein; interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport	YER009W
ntf2-h104y	NTF2	pos_with_all	Gsp1 partner	Nuclear envelope protein; interacts with GDP-bound Gsp1p and with proteins of the nuclear pore to transport Gsp1p into the nucleus where it is an essential player in nucleocytoplasmic transport	YER009W
rna1-1	RNA1	mixed	Gsp1 partner	GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport	YMR235C
rna1-s116f	RNA1	mixed	Gsp1 partner	GTPase activating protein (GAP) for Gsp1p; involved in nuclear transport	YMR235C
srm1-g282s	SRM1	pos_with_all	Gsp1 partner	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant	YGL097W
srm1-ts	SRM1	pos_with_all	Gsp1 partner	Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p; human homolog of the RAN GEF, RCC1, can complement a temperature sensitive point mutant	YGL097W
srp1-5001	SRP1	pos_with_GAP	Gsp1 partner	Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation	YNL189W
yrb1-51	YRB1	pos_with_GAP	Gsp1 partner	Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1	YDR002W
yrb2_damp	YRB2	added_damp	Gsp1 partner	Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p, GTP-Gsp1p, Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability	YIL063C
nup60	NUP60	pos_with_all	Gsp1 partner	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	YAR002W
asm4	ASM4	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication	YDL088C
dbp5-1	DBP5	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress	YOR046C
gle1-2	GLE1	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination	YDL207W
gle1-4	GLE1	pos_with_all	nuclear transport of protein and mRNA	Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination	YDL207W
gle2	GLE2	pos_with_all	nuclear transport of protein and mRNA	RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1	YER107C
mex67-ts5	MEX67	pos_with_all	nuclear transport of protein and mRNA	Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP	YPL169C
mog1	MOG1	pos_with_all	nuclear transport of protein and mRNA	Conserved nuclear protein that interacts with GTP-Gsp1p; stimulates nucleotide release from Gsp1p; involved in nuclear protein import; nucleotide release is inhibited by Yrb1p	YJR074W
mlp2	MLP2	mixed	nuclear transport of protein and mRNA	Myosin-like protein associated	YIL149C
nup100	NUP100	mixed	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; NUP100 has a paralog, NUP116, that arose from the whole genome duplication	YKL068W
nup82-5005	NUP82	mixed	nuclear transport of protein and mRNA	Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p); relocalizes to the cytosol in response to hypoxia	YJL061W
nup84	NUP84	mixed	nuclear transport of protein and mRNA	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP107	YDL116W
nup133	NUP133	pos_with_all	nuclear transport of protein and mRNA	Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133	YKR082W
nup145-r4	NUP145	pos_with_all	nuclear transport of protein and mRNA	Essential protein with distinct roles in two nuclear pore subcomplexes; catalyzes its own proteolytic cleavage in vivo to generate a C-terminal fragment that is a structural component of the Nup84p subcomplex (with roles in NPC biogenesis and localization of genes to the nuclear periphery), and an N-terminal fragment that is one of several FG-nucleoporins within the NPC central core directly responsible for nucleocytoplasmic transport; homologous to human NUP98	YGL092W
nup157	NUP157	pos_with_all	nuclear transport of protein and mRNA	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC assembly and tethering of DNA to the nuclear periphery; both Nup170p and NUP157p are similar to human Nup155p; NUP157 has a paralog, NUP170, that arose from the whole genome duplication	YER105C
nup188	NUP188	pos_with_all	nuclear transport of protein and mRNA	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188	YML103C
nup2	NUP2	pos_with_all	nuclear transport of protein and mRNA	Nucleoporin involved in nucleocytoplasmic transport; binds to either the nucleoplasmic or cytoplasmic faces of the nuclear pore complex depending on Ran-GTP levels; also has a role in chromatin organization	YLR335W
nup42	NUP42	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p	YDR192C
nup53	NUP53	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes directly to nucleocytoplasmic transport; involved in regulation of transcription and mitosis; induces membrane tubulation, which may contribute to nuclear pore assembly; NUP53 has a paralog, ASM4, that arose from the whole genome duplication	YMR153W
nup57-5001	NUP57	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup49p)	YGR119C
nup57-e17	NUP57	pos_with_all	nuclear transport of protein and mRNA	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup49p)	YGR119C
nup82-5004	NUP82	pos_with_all	nuclear transport of protein and mRNA	Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p); relocalizes to the cytosol in response to hypoxia	YJL061W
pom152	POM152	pos_with_all	nuclear transport of protein and mRNA	Glycoprotein subunit of transmembrane ring of nuclear pore complex; contributes to nucleocytoplasmic transport, nuclear pore complex (NPC) biogenesis and spindle pole body duplication; homologous to human NUP210	YMR129W
pom34	POM34	pos_with_all	nuclear transport of protein and mRNA	Subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication	YLR018C
