,strain,name,ORF,gene_set,set_info,cluster,strain_order,Description
0,yhc1-3,YHC1,YLR298C,splicing,pos_with_GAP,1,1,"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site"
1,cbf2-1,CBF2,YGR140W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,2,"Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress"
2,cbf2-1,CBF2,YGR140W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,2,"Essential kinetochore protein; component of the CBF3 multisubunit complex that binds to the CDEIII region of the centromere; Cbf2p also binds to the CDEII region possibly forming a different multimeric complex, ubiquitinated in vivo; sumoylated in an Mms21p-dependent manner; relative distribution to the spindle pole body decreases upon DNA replication stress"
3,mcd1-73,MCD1,YDL003W,cohesin,pos_with_GAP,1,3,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
4,mcd1-73,MCD1,YDL003W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,3,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
5,mcd1-73,MCD1,YDL003W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,3,"Essential alpha-kleisin subunit of the cohesin complex; required for sister chromatid cohesion in mitosis; subject to proteolytic cleavage by separate Esp1p, resulting in dissociation of cohesin from chromatin and the separation of sister chromatids at the mitotic metaphase-to-anaphase transition; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase"
6,smc1-2,SMC1,YFL008W,cohesin,pos_with_GAP,1,4,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
7,smc1-2,SMC1,YFL008W,histones and chromatin,pos_with_GAP,1,4,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
8,smc1-2,SMC1,YFL008W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,4,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
9,smc1-2,SMC1,YFL008W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,4,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
10,chl1,CHL1,YPL008W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,5,"Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity and interstrand cross-link repair; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome"
11,smc3-42,SMC3,YJL074C,cohesin,pos_with_GAP,1,6,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
12,smc3-42,SMC3,YJL074C,histones and chromatin,pos_with_GAP,1,6,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
13,smc3-42,SMC3,YJL074C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,6,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
14,smc3-42,SMC3,YJL074C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,6,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
15,smc1-259,SMC1,YFL008W,cohesin,pos_with_GAP,1,7,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
16,smc1-259,SMC1,YFL008W,histones and chromatin,pos_with_GAP,1,7,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
17,smc1-259,SMC1,YFL008W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,7,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
18,smc1-259,SMC1,YFL008W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,7,"Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
19,smc3-1,SMC3,YJL074C,cohesin,pos_with_GAP,1,8,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
20,smc3-1,SMC3,YJL074C,histones and chromatin,pos_with_GAP,1,8,"Subunit of the multiprotein cohesin complex; required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
